w_R,w_P,w_U,a,b,N,R,P,U,G
0.02,0.32,0.66,0.2015,4.5,4.0,0.7420765432751761,0.0832638064028467,0.7738156581825176,0.0843225865153517
0.02,0.34,0.64,0.2005,4.5,4.0,0.7421488062886202,0.0832061040204577,0.7739818667965148,0.08860585472177782
0.02,0.36,0.62,0.1995,4.5,4.0,0.7422232764386041,0.08315022850233,0.774153702919975,0.09308625761742033
0.02,0.38,0.6,0.1985,4.5,4.0,0.7422999168882742,0.0830961423010173,0.7743310615822895,0.09751009496810294
0.02,0.4,0.58,0.1973424262716914,4.5,4.0,0.7423912956589164,0.0830357186388999,0.7745431257506908,0.10176317935356226
0.02,0.42,0.56,0.196,4.5,4.0,0.7425007713317288,0.0829685086536847,0.7747979304759446,0.10618199989550384
0.02,0.44,0.54,0.195,4.5,4.0,0.7425847177400824,0.082920389375085,0.7749937913807068,0.11009391706070604
0.02,0.46,0.52,0.1937321373565153,4.5,4.0,0.7426940273831892,0.0828617054514858,0.7752493631058034,0.11411645038823076
0.02,0.48,0.5,0.1924021291652183,4.499999999999999,4.0,0.742812075965252,0.0828028608050109,0.775525952902843,0.11805083071402121
0.02,0.5,0.48,0.1911742419530123,4.499999999999999,4.0,0.7429240601280354,0.0827509278142203,0.775788813690532,0.12202516976742019
0.02,0.52,0.46,0.1896398884304693,4.5,4.0,0.743067935471177,0.0826891541541741,0.7761271096661112,0.1257380715993687
0.02,0.54,0.44,0.188472849216304,4.5,4.0,0.7431802236324493,0.0826444128967804,0.7763915137759253,0.1296952594244399
0.02,0.56,0.42,0.187,4.5,4.0,0.7433253579297355,0.0825906138798455,0.7767336672478584,0.13340308574659013
0.02,0.58,0.4,0.185,4.5,4.0,0.7435283531044269,0.0825221206923279,0.7772128396892924,0.1367230468347384
0.02,0.6,0.38,0.1833802245323487,4.5,4.0,0.7436975666948853,0.082470312352367,0.7776126823848418,0.14030707602004483
0.02,0.62,0.36,0.1813907426149553,4.5,4.0,0.7439110462889873,0.0824109134833365,0.7781174932530589,0.14364478096801864
0.02,0.64,0.34,0.1794300591762197,4.5,4.0,0.7441272582621592,0.0823566718419892,0.7786290253870016,0.14701599507288024
0.02,0.66,0.32,0.2230239703682651,4.5,2.0,0.7599338858777449,0.0760755305197009,0.7790228731817824,0.14579180227445124
0.02,0.68,0.3,0.2230239703682651,4.5,2.0,0.7599338858777449,0.0760755305197009,0.7790228731817824,0.13668019530947104
0.02,0.7,0.28,0.2230239703682651,4.5,2.0,0.7599338858777449,0.0760755305197009,0.7790228731817824,0.12756858834449084
0.02,0.72,0.26,0.2230239703682651,4.5,2.0,0.7599338858777449,0.0760755305197009,0.7790228731817824,0.11845698137951063
0.02,0.74,0.24,0.2230239703682651,4.5,2.0,0.7599338858777449,0.0760755305197009,0.7790228731817824,0.10934537441453042
0.02,0.76,0.22,0.2230239703682651,4.5,2.0,0.7599338858777449,0.0760755305197009,0.7790228731817824,0.10023376744955023
0.02,0.78,0.2,0.2230239703682651,4.5,2.0,0.7599338858777449,0.0760755305197009,0.7790228731817824,0.09112216048457003
0.02,0.8,0.18,0.2230239703682651,4.5,2.0,0.7599338858777449,0.0760755305197009,0.7790228731817824,0.08201055351958982
0.02,0.82,0.16,0.2230239703682651,4.5,2.0,0.7599338858777449,0.0760755305197009,0.7790228731817824,0.07289894655460959
0.02,0.84,0.14,0.2230239703682651,4.5,2.0,0.7599338858777449,0.0760755305197009,0.7790228731817824,0.0637873395896294
0.02,0.86,0.12,0.211,4.5,2.0,0.7596855037753467,0.0763694873374834,0.7795917031383747,0.05927554244193681
0.02,0.88,0.1,0.208573556794861,4.5,2.0,0.7596784424772447,0.0764603503182665,0.7798355592776294,0.05926442151957458
0.02,0.9,0.08,0.208573556794861,4.5,2.0,0.7596784424772447,0.0764603503182665,0.7798355592776294,0.059263438708343906
0.02,0.92,0.06,0.208573556794861,4.5,2.0,0.7596784424772447,0.0764603503182665,0.7798355592776294,0.059262455897113236
0.02,0.94,0.04,0.2085438844711118,4.5,2.0,0.7596784391526433,0.0764615204141665,0.7798387911301868,0.059261472904821304
0.02,0.96,0.02,0.2085438844711118,4.5,2.0,0.7596784391526433,0.0764615204141665,0.7798387911301868,0.0592604897717703
0.02,0.98,0.0,0.2085438844711118,4.5,2.0,0.7596784391526433,0.0764615204141665,0.7798387911301868,0.059259506638719296
0.04,0.0,0.96,0.234,3.40875,4.0,0.7361471182370802,0.1133465988644474,0.7725660870802422,0.047830258117172314
0.04,0.02,0.94,0.234,3.40875,4.0,0.7361471182370802,0.1133465988644474,0.7725660870802422,0.0478328726945091
0.04,0.04,0.92,0.223,3.44625,4.0,0.736963565946684,0.1105717784619757,0.7725536354236203,0.05028770286266194
