w_R,w_P,w_U,a,b,N,R,P,U,G,场景
0.32,0.34,0.34,0.22493169971893984,4.5,6.0,0.7343297111168674,0.09799576798456269,0.7901950866281957,0.3941082835231958,均衡
0.6,0.2,0.2,0.21728448053670227,3.3746466887982565,8.0,0.7298170236589744,0.13546416924719445,0.8061062147420046,0.432226000271345,散热优先
0.2,0.6,0.2,0.22760416112293844,4.5,4.0,0.7410930679886711,0.08554079643652768,0.771815624212946,0.31343915862175403,能耗优先
0.2,0.2,0.6,0.21720506838254613,3.431491070898603,4.0,0.7369231945542627,0.11052571974432418,0.7732264047807174,0.25081530986566986,均匀性优先
0.44,0.1,0.46,0.24198577148397626,3.0487430225391825,4.0,0.7309935658860689,0.1309205123533225,0.7840715780313671,0.3558368510307795,热可靠性优先
