w_R,w_P,w_U,a,b,N,R,P,U,G,场景
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2249317396262705,4.5,6.0,0.7343297089821552,0.09799577667600129,0.7901950866279398,0.3863827466714411,均衡
0.6,0.2,0.2,0.21728448053670227,3.3746466887982565,8.0,0.7298170236589744,0.13546416924719445,0.8061062147420046,0.432226000271345,散热优先
0.2,0.6,0.2,0.22760416112293844,4.5,4.0,0.7410930679886711,0.08554079643652768,0.771815624212946,0.31343915862175403,能耗优先
0.2,0.2,0.6,0.21720506838254613,3.431491070898603,4.0,0.7369231945542627,0.11052571974432418,0.7732264047807174,0.25081530986566986,均匀性优先
0.45,0.1,0.45,0.24138800240579053,3.0411419491363243,4.0,0.7309213243108156,0.13122916552974828,0.7845438081347891,0.3614819839062339,热可靠性优先
