H,权重数,pi_N2,pi_N4,pi_N6,pi_N8,pi_N10,mean_G
25,351,0.05128205128205128,0.5470085470085471,0.21652421652421652,0.02849002849002849,0.15669515669515668,0.2930841597627097
50,1326,0.038461538461538464,0.5580693815987934,0.22699849170437406,0.026395173453996983,0.15007541478129713,0.29613652826763
100,5151,0.03669190448456611,0.5604736944282663,0.22888759464181713,0.0269850514463211,0.1469617549990293,0.2977103139016674
