a,b,N,R,P,U
0.2275,4.5,2.0,0.7601256335962594,0.07604128841442803,0.7791074314604124
0.228,4.5,2.0,0.7601506573997387,0.07604026091542163,0.7791275992364836
0.2285,4.5,2.0,0.7601764223669337,0.07603981275680793,0.7791499696638337
0.1,4.5,4.0,0.7544370512906237,0.0803730898653527,0.8016311570728486
0.1005,4.5,4.0,0.7543822855720838,0.08040424838140234,0.8015282990699599
0.101,4.5,4.0,0.7543271507163486,0.08043492492736076,0.8014242236792235
0.1015,4.5,4.0,0.7542716513280251,0.08046512419665874,0.8013189440219652
0.10200000000000001,4.5,4.0,0.7542157920117197,0.08049485088272709,0.8012124732195113
0.10250000000000001,4.5,4.0,0.7541595773720391,0.08052410967899659,0.8011048243931876
0.10300000000000001,4.5,4.0,0.75410301201359,0.08055290527889802,0.8009960106643205
0.10350000000000001,4.5,4.0,0.754046100540979,0.08058124237586214,0.8008860451542357
0.10400000000000001,4.5,4.0,0.7539888475588128,0.08060912566331976,0.8007749409842595
0.10450000000000001,4.5,4.0,0.753931257671698,0.08063655983470167,0.8006627112757179
0.10500000000000001,4.5,4.0,0.7538733354842413,0.0806635495834386,0.800549369149937
0.10550000000000001,4.5,4.0,0.7538150856010493,0.08069009960296139,0.8004349277282428
0.10600000000000001,4.5,4.0,0.7537565126267286,0.0807162145867008,0.8003194001319615
0.10650000000000001,4.5,4.0,0.753697621165886,0.08074189922808761,0.800202799482419
0.10700000000000001,4.5,4.0,0.753638415823128,0.08076715822055258,0.8000851389009415
0.10750000000000001,4.5,4.0,0.7535789012030614,0.08079199625752653,0.799966431508855
0.10800000000000001,4.5,4.0,0.7535190819102927,0.08081641803244025,0.7998466904274856
0.10850000000000001,4.5,4.0,0.7534589625494287,0.08084042823872448,0.7997259287781594
0.10900000000000001,4.5,4.0,0.7533985477250759,0.08086403156981004,0.7996041596822023
0.1095,4.5,4.0,0.7533378420418411,0.08088723271912768,0.7994813962609406
0.11,4.5,4.0,0.7532768501043308,0.08091003638010821,0.7993576516357003
0.1105,4.5,4.0,0.7532155765171517,0.08093244724618241,0.7992329389278073
0.111,4.5,4.0,0.7531540258849104,0.08095447001078104,0.7991072712585878
0.1115,4.5,4.0,0.7530922028122138,0.0809761093673349,0.798980661749368
0.112,4.5,4.0,0.7530301119036683,0.08099737000927479,0.7988531235214738
0.1125,4.5,4.0,0.7529677577638806,0.08101825663003145,0.7987246696962311
0.113,4.5,4.0,0.7529051449974574,0.08103877392303571,0.7985953133949664
0.1135,4.5,4.0,0.7528422782090053,0.0810589265817183,0.7984650677390055
0.114,4.5,4.0,0.752779162003131,0.08107871929951005,0.7983339458496744
0.1145,4.5,4.0,0.7527158009844411,0.08109815676984172,0.7982019608482993
0.115,4.5,4.0,0.7526521997575423,0.08111724368614408,0.7980691258562063
0.1155,4.5,4.0,0.7525883629270411,0.08113598474184794,0.7979354539947213
0.116,4.5,4.0,0.7525242950975445,0.08115438463038406,0.7978009583851706
0.1165,4.5,4.0,0.7524600008736587,0.08117244804518325,0.7976656521488801
0.117,4.5,4.0,0.7523954848599907,0.08119017967967626,0.7975295484071758
0.11750000000000001,4.5,4.0,0.752330751661147,0.0812075842272939,0.797392660281384
0.11800000000000001,4.5,4.0,0.7522658058817343,0.08122466638146694,0.7972550008928306
0.11850000000000001,4.5,4.0,0.7522006521263591,0.08124143083562615,0.7971165833628417
0.11900000000000001,4.5,4.0,0.7521352949996283,0.08125788228320233,0.7969774208127435
0.11950000000000001,4.5,4.0,0.7520697391061484,0.08127402541762627,0.7968375263638618
0.12000000000000001,4.5,4.0,0.752003989050526,0.08128986493232873,0.796696913137523
0.12050000000000001,4.5,4.0,0.751938049437368,0.0813054055207405,0.7965555942550528
0.12100000000000001,4.5,4.0,0.7518719248712807,0.0813206518762924,0.7964135828377775
0.12150000000000001,4.5,4.0,0.751805619956871,0.08133560869241513,0.7962708920070232
0.122,4.5,4.0,0.7517391392987455,0.08135028066253955,0.7961275348841158
0.1225,4.5,4.0,0.7516724875015107,0.0813646724800964,0.7959835245903815
0.123,4.5,4.0,0.7516056691697736,0.08137878883851649,0.7958388742471463
0.1235,4.5,4.0,0.7515386889081404,0.08139263443123057,0.7956935969757363
0.124,4.5,4.0,0.751471551321218,0.08140621395166947,0.7955477058974776
0.1245,4.5,4.0,0.7514042610136131,0.08141953209326391,0.7954012141336961
0.125,4.5,4.0,0.7513368225899323,0.08143259354944474,0.7952541348057182
0.1255,4.5,4.0,0.7512692406547822,0.08144540301364267,0.7951064810348696
0.126,4.5,4.0,0.7512015198127695,0.08145796517928855,0.7949582659424766
0.1265,4.5,4.0,0.7511336646685007,0.08147028473981313,0.7948095026498652
0.127,4.5,4.0,0.7510656798265828,0.0814823663886472,0.7946602042783615
0.1275,4.5,4.0,0.750997569891622,0.08149421481922153,0.7945103839492914
0.128,4.5,4.0,0.7509293394682253,0.08150583472496692,0.7943600547839812
0.1285,4.5,4.0,0.7508609931609992,0.08151723079931414,0.7942092299037569
0.129,4.5,4.0,0.7507925355745504,0.08152840773569396,0.7940579224299444
0.1295,4.5,4.0,0.7507239713134856,0.0815393702275372,0.7939061454838701
0.13,4.5,4.0,0.7506553049824112,0.0815501229682746,0.7937539121868598
0.1305,4.5,4.0,0.7505865411859342,0.08156067065133699,0.7936012356602395
0.131,4.5,4.0,0.7505176845286609,0.08157101797015512,0.7934481290253357
0.1315,4.5,4.0,0.7504487396151982,0.08158116961815978,0.793294605403474
0.132,4.5,4.0,0.7503797110501528,0.08159113028878175,0.7931406779159806
0.1325,4.5,4.0,0.750310603438131,0.08160090467545181,0.7929863596841816
0.133,4.5,4.0,0.7502414213837398,0.08161049747160073,0.7928316638294033
0.1335,4.5,4.0,0.7501721694915858,0.08161991337065935,0.7926766034729713
0.134,4.5,4.0,0.7501028523662755,0.08162915706605839,0.792521191736212
0.1345,4.5,4.0,0.7500334746124157,0.08163823325122865,0.7923654417404514
0.135,4.5,4.0,0.7499640408346129,0.08164714661960093,0.7922093666070157
0.1355,4.5,4.0,0.7498945556374739,0.081655901864606,0.7920529794572306
0.136,4.5,4.0,0.7498250236256052,0.08166450367967462,0.7918962934124225
0.1365,4.5,4.0,0.7497554494036136,0.08167295675823762,0.7917393215939174
0.137,4.5,4.0,0.7496858375761056,0.08168126579372575,0.7915820771230412
0.1375,4.5,4.0,0.749616192747688,0.08168943547956979,0.7914245731211201
0.138,4.5,4.0,0.7495465195229674,0.08169747050920054,0.7912668227094802
0.1385,4.5,4.0,0.7494768225065503,0.08170537557604877,0.7911088390094476
0.139,4.5,4.0,0.7494071063030436,0.08171315537354529,0.7909506351423482
0.1395,4.5,4.0,0.7493373755170538,0.08172081459512084,0.7907922242295082
0.14,4.5,4.0,0.7492676347531876,0.08172835793420621,0.7906336193922536
0.1405,4.5,4.0,0.7491978886160516,0.08173579008423223,0.7904748337519106
0.14100000000000001,4.5,4.0,0.7491281417102525,0.08174311573862962,0.790315880429805
0.14150000000000001,4.5,4.0,0.749058398640397,0.0817503395908292,0.7901567725472632
0.14200000000000002,4.5,4.0,0.7489886640110917,0.08175746633426173,0.7899975232256111
0.14250000000000002,4.5,4.0,0.748918942426943,0.08176450066235802,0.7898381455861747
0.14300000000000002,4.5,4.0,0.748849238492558,0.08177144726854885,0.7896786527502802
0.14350000000000002,4.5,4.0,0.748779556812543,0.08177831084626497,0.7895190578392535
0.14400000000000002,4.5,4.0,0.7487099019915049,0.08178509608893719,0.7893593739744208
0.14450000000000002,4.5,4.0,0.7486402786340501,0.08179180768999628,0.7891996142771082
0.14500000000000002,4.5,4.0,0.7485706913447856,0.08179845034287303,0.7890397918686417
0.14550000000000002,4.5,4.0,0.7485011447283176,0.08180502874099824,0.7888799198703473
0.14600000000000002,4.5,4.0,0.7484316433892532,0.08181154757780265,0.7887200114035513
0.14650000000000002,4.5,4.0,0.7483621919321987,0.08181801154671707,0.7885600795895795
0.14700000000000002,4.5,4.0,0.7482927949617608,0.08182442534117229,0.7884001375497581
0.14750000000000002,4.5,4.0,0.7482234570825463,0.08183079365459905,0.7882401984054133
0.14800000000000002,4.5,4.0,0.7481541828991619,0.0818371211804282,0.7880802752778708
0.14850000000000002,4.5,4.0,0.7480849770162141,0.08184341261209047,0.787920381288457
0.14900000000000002,4.5,4.0,0.7480158440383096,0.08184967264301665,0.7877605295584977
0.14950000000000002,4.5,4.0,0.7479467885700549,0.08185590596663755,0.7876007332093193
0.15000000000000002,4.5,4.0,0.7478778152160569,0.08186211727638393,0.7874410053622477
0.15050000000000002,4.5,4.0,0.7478089285809221,0.08186831126568656,0.7872813591386089
0.15100000000000002,4.5,4.0,0.7477401332692571,0.08187449262797625,0.787121807659729
0.15150000000000002,4.5,4.0,0.7476714338856688,0.08188066605668377,0.7869623640469341
0.15200000000000002,4.5,4.0,0.7476028350347635,0.0818868362452399,0.7868030414215502
0.1525,4.5,4.0,0.7475343413211483,0.08189300788707543,0.7866438529049036
0.153,4.5,4.0,0.7474659573494293,0.08189918567562116,0.7864848116183201
0.1535,4.5,4.0,0.7473976877242137,0.08190537430430783,0.7863259306831258
0.154,4.5,4.0,0.7473295370501077,0.08191157846656624,0.7861672232206469
0.1545,4.5,4.0,0.7472615099317181,0.08191780285582717,0.7860087023522094
0.155,4.5,4.0,0.7471936109736518,0.08192405216552143,0.7858503811991394
0.1555,4.5,4.0,0.747125844780515,0.08193033108907977,0.7856922728827629
0.156,4.5,4.0,0.7470582159569148,0.081936644319933,0.785534390524406
0.1565,4.5,4.0,0.7469907291074576,0.08194299655151185,0.7853767472453949
0.157,4.5,4.0,0.7469233888367499,0.08194939247724717,0.7852193561670553
0.1575,4.5,4.0,0.7468561997493988,0.0819558367905697,0.7850622304107137
0.158,4.5,4.0,0.7467891664500105,0.08196233418491025,0.7849053830976959
0.1585,4.5,4.0,0.7467222935431919,0.08196888935369956,0.784748827349328
0.159,4.5,4.0,0.7466555856335496,0.08197550699036846,0.7845925762869361
0.1595,4.5,4.0,0.7465890473256902,0.0819821917883477,0.7844366430318465
0.16,4.5,4.0,0.7465226832242204,0.08198894844106809,0.7842810407053848
0.1605,4.5,4.0,0.7464564979337469,0.08199578164196039,0.7841257824288774
0.161,4.5,4.0,0.7463904960588762,0.08200269608445539,0.7839708813236503
0.1615,4.5,4.0,0.7463246822042151,0.08200969646198386,0.7838163505110296
0.162,4.5,4.0,0.7462590609743702,0.08201678746797661,0.7836622031123412
0.1625,4.5,4.0,0.7461936369739481,0.0820239737958644,0.7835084522489113
0.163,4.5,4.0,0.7461284148075555,0.08203126013907802,0.783355111042066
0.1635,4.5,4.0,0.746063399079799,0.08203865119104825,0.7832021926131314
0.164,4.5,4.0,0.7459985943952854,0.08204615164520587,0.7830497100834334
0.1645,4.5,4.0,0.7459340053586212,0.0820537661949817,0.7828976765742982
0.165,4.5,4.0,0.7458696365744131,0.08206149953380645,0.7827461052070518
0.1655,4.5,4.0,0.7458054926472677,0.08206935635511098,0.7825950091030203
0.166,4.5,4.0,0.7457415781817917,0.082077341352326,0.7824444013835297
0.1665,4.5,4.0,0.7456778977825917,0.08208545921888234,0.7822942951699062
0.167,4.5,4.0,0.7456144560542745,0.08209371464821077,0.7821447035834758
0.1675,4.5,4.0,0.7455512576014465,0.08210211233374207,0.7819956397455645
0.168,4.5,4.0,0.7454883070287146,0.08211065696890704,0.7818471167774985
0.1685,4.5,4.0,0.7454256089406853,0.08211935324713643,0.7816991478006038
0.169,4.5,4.0,0.7453631679419653,0.08212820586186105,0.7815517459362065
0.1695,4.5,4.0,0.7453009886371612,0.08213721950651168,0.7814049243056325
0.17,4.5,4.0,0.7452390756308798,0.08214639887451908,0.7812586960302081
0.1705,4.5,4.0,0.7451774335277276,0.08215574865931405,0.7811130742312593
0.171,4.5,4.0,0.7451160669323112,0.08216527355432737,0.7809680720301121
0.1715,4.5,4.0,0.7450549804492375,0.08217497825298983,0.7808237025480926
0.17200000000000001,4.5,4.0,0.7449941786831129,0.08218486744873221,0.7806799789065269
0.1725,4.5,4.0,0.7449336662385442,0.08219494583498528,0.7805369142267411
0.173,4.5,4.0,0.744873447720138,0.08220521810517983,0.7803945216300611
0.1735,4.5,4.0,0.7448135277325009,0.08221568895274664,0.7802528142378131
0.174,4.5,4.0,0.7447539108802396,0.0822263630711165,0.7801118051713232
0.1745,4.5,4.0,0.7446946017679607,0.08223724515372019,0.7799715075519174
0.175,4.5,4.0,0.7446356050002709,0.0822483398939885,0.7798319345009218
0.1755,4.5,4.0,0.7445769251817769,0.08225965198535219,0.7796930991396624
0.176,4.5,4.0,0.7445185669170853,0.08227118612124207,0.7795550145894653
0.1765,4.5,4.0,0.7444605348108027,0.0822829469950889,0.7794176939716567
0.177,4.5,4.0,0.7444028334675358,0.08229493930032346,0.7792811504075625
0.1775,4.5,4.0,0.7443454674918912,0.08230716773037655,0.7791453970185088
0.178,4.5,4.0,0.7442884414884757,0.08231963697867895,0.7790104469258217
0.1785,4.5,4.0,0.7442317600618958,0.08233235173866144,0.7788763132508273
0.179,4.5,4.0,0.7441754278167583,0.0823453167037548,0.7787430091148515
0.1795,4.5,4.0,0.7441194493576696,0.08235853656738981,0.7786105476392207
0.18,4.5,4.0,0.7440638292892365,0.08237201602299726,0.7784789419452606
0.1805,4.5,4.0,0.7440085722160658,0.08238575976400792,0.7783482051542975
0.181,4.5,4.0,0.7439536827427639,0.0823997724838526,0.7782183503876573
0.1815,4.5,4.0,0.7438991654739374,0.08241405887596205,0.7780893907666663
0.182,4.5,4.0,0.7438450250141933,0.08242862363376707,0.7779613394126503
0.1825,4.5,4.0,0.7437912659681379,0.08244347145069844,0.7778342094469356
0.183,4.5,4.0,0.7437378929403782,0.08245860702018694,0.7777080139908482
0.1835,4.5,4.0,0.7436849105355204,0.08247403503566336,0.7775827661657141
