方案,a,b,N,R,P,U,C_AT
N=2连续精化,0.24086925445881285,3.1290361738085863,2.0,0.7388483679674732,0.1140501057583894,0.793999944894769,0.46626247583916225
N=4连续精化,0.21720507067953346,3.4314911002273765,4.0,0.7369231949523516,0.1105257188736131,0.7732264041744497,0.4180194834531237
N=6连续精化,0.2249317396262705,4.5,6.0,0.7343297089821552,0.09799577667600129,0.7901950866279398,0.38638274667145095
N=8连续精化,0.22527939268663819,3.5190730986897827,8.0,0.730994199045909,0.1325245610850554,0.804683389605867,0.6904685550676095
N=10连续精化,0.2169919500064384,3.5362233949338644,10.0,0.725712741862308,0.13291634162089994,0.806461807675372,0.7277777876051587
无针肋连续精化,0.0,4.000005465000746,0.0,0.7679070416704056,0.08870387619819564,0.8383980000010898,1.398044491261481
