weight_id,w_R,w_P,w_U,a,b,N,R,P,U,score,optimizer_success,optimizer_method
104,0.25,0.45,0.3,0.22181597759650742,4.5,6.0,0.7345125126796815,0.09733295524323307,0.7902329026569737,0.3484646576330057,True,SLSQP
105,0.25,0.5,0.25,0.20130648848756497,4.5,6.0,0.736450932176519,0.09368501957439694,0.7921680433654005,0.3208565951612607,True,SLSQP
106,0.25,0.55,0.2,0.19221923873761146,4.5,6.0,0.7376638200150818,0.09241057006670071,0.7938074950732141,0.3274471644763842,True,SLSQP
107,0.25,0.6,0.15,0.18683994811651997,4.5,6.0,0.7384675246666609,0.09173802886138774,0.7949566442755412,0.34253288848394514,True,SLSQP
108,0.25,0.65,0.1,0.18185332887693031,4.5,6.0,0.7392633285225315,0.09116267774387851,0.7961229891119515,0.3574695426516544,True,SLSQP
109,0.25,0.7,0.05,0.17718450928771273,4.499999996528413,6.0,0.740048528344051,0.0906616977879119,0.7972912964880295,0.37220634586745077,True,SLSQP
110,0.25,0.75,0.0,0.17278013872090786,4.5,6.0,0.7408213625134904,0.09021900118796727,0.7984512319744894,0.3867102174860389,True,SLSQP
111,0.3,0.0,0.7,0.23948122125761634,3.1761350968498365,4.0,0.7324537286591831,0.12407122034253792,0.7780374208518945,0.2755042918496549,True,SLSQP
112,0.3,0.05,0.65,0.23979323384384782,3.165631464309428,4.0,0.7323145890393155,0.12462312857169307,0.7784416450734781,0.2723778889101431,True,SLSQP
113,0.3,0.1,0.6,0.24097859261906515,3.153683438926299,4.0,0.7321663644198981,0.1253938055151587,0.7789078213121199,0.26904705534437623,True,SLSQP
114,0.3,0.15,0.55,0.2352435312406848,3.144892248011263,4.0,0.7320576429515879,0.12492897650923453,0.7794871279460207,0.2666983222529401,True,SLSQP
115,0.3,0.2,0.5,0.2232902004364809,3.255909786098555,4.0,0.7338495335695344,0.1182457082168296,0.7763156975523711,0.306970231893398,True,SLSQP
116,0.3,0.25,0.45,0.2197592944021353,3.3517625866238,4.0,0.735480482575387,0.11384699680923659,0.7742377659103759,0.34371310861532856,True,SLSQP
117,0.3,0.3,0.4,0.2170733867532726,3.4311524090328605,4.0,0.7369232886460287,0.11052591404838046,0.7732447808277189,0.37622059895844306,True,Powell_retry
118,0.3,0.35,0.35,0.21579284627660286,3.502199386661683,4.0,0.7382029398341902,0.10786485734866637,0.7727337522018006,0.40505340583865707,True,SLSQP
119,0.3,0.4,0.3,0.22493120924599883,4.5,6.0,0.7343297373535506,0.09799566116462946,0.7901950866323693,0.34775245447853714,True,SLSQP
120,0.3,0.45,0.25,0.21639182389632966,4.5,6.0,0.7349053177094037,0.09625179996996135,0.7904721618819116,0.3307753770448661,True,SLSQP
121,0.3,0.5,0.2,0.20951787289721263,4.5,6.0,0.7355311966166188,0.09500625229403416,0.7910690749558401,0.3448731822211616,True,SLSQP
122,0.3,0.55,0.15,0.20350238794181294,4.5,6.0,0.7361876700795883,0.09402163908621258,0.7918359811441099,0.3596601595569241,True,SLSQP
123,0.3,0.6,0.1,0.19810027542107028,4.5,6.0,0.7368567954342182,0.09321419243132383,0.7926994796710046,0.37473180010289064,True,SLSQP
124,0.3,0.65,0.05,0.19316095183493148,4.5,6.0,0.7375293807592104,0.09253426683539773,0.7936191395854217,0.3898808782814384,True,SLSQP
125,0.3,0.7,0.0,0.18858489726377697,4.5,6.0,0.7382003262249031,0.09195002169769961,0.7945707321319704,0.40499242655207857,True,SLSQP
126,0.35,0.0,0.65,0.2403384720087554,3.143057425178405,4.0,0.7320256589151014,0.1258071314867089,0.7793652259551658,0.31016835747877636,True,SLSQP
127,0.35,0.05,0.6,0.23998873394798495,3.131236549014087,4.0,0.7318771513504296,0.1263333397433731,0.7798934357896755,0.30627346317316606,True,SLSQP
128,0.35,0.1,0.55,0.24086625929897726,3.1173859371099315,4.0,0.7317154174778966,0.12716860080553954,0.7805076437711254,0.3020311826483645,True,SLSQP
129,0.35,0.15,0.5,0.24124654347816604,3.102082758928077,4.0,0.7315410139425879,0.1280065056789112,0.7812341127302279,0.2974561057846038,True,SLSQP
130,0.35,0.2,0.45,0.22602082056756861,3.1894545886274406,4.0,0.7328252086161063,0.12157747568899323,0.7783907999956542,0.3312060367570348,True,SLSQP
131,0.35,0.25,0.4,0.22215848889009948,3.2855011890134076,4.0,0.7343361835056079,0.11683922629721198,0.7755635912958816,0.3709181182619516,True,SLSQP
132,0.35,0.3,0.35,0.22493196750045474,4.5,6.0,0.7343296967928736,0.0979958263049404,0.7901950866267188,0.40569789275287677,True,SLSQP
133,0.35,0.35,0.3,0.23759284821634388,4.5,6.0,0.7339344262247921,0.10102934888074636,0.7908633723048766,0.3603788059910757,True,SLSQP
134,0.35,0.4,0.25,0.236815920921653,4.5,6.0,0.7339417669059927,0.10082660936611741,0.7907819480139028,0.36056987740922664,True,SLSQP
135,0.35,0.45,0.2,0.22725532119284375,4.5,6.0,0.7342145712075578,0.09851078073042946,0.790216606185511,0.36773480543441944,True,SLSQP
136,0.35,0.5,0.15,0.21969874598800979,4.5,6.0,0.734654792082854,0.09690017910947547,0.790300721378345,0.3793018349926869,True,SLSQP
137,0.35,0.55,0.1,0.21331882368820984,4.5,6.0,0.7351680291943727,0.09567838517864982,0.7907001676274887,0.3927884981990457,True,SLSQP
138,0.35,0.6,0.05,0.20772474744231195,4.5,6.0,0.735716664332177,0.09470287428528276,0.7912749474718215,0.4072055265237184,True,SLSQP
139,0.35,0.65,0.0,0.2026973617685182,4.5,6.0,0.7362827631152661,0.09389686461364316,0.7919546143330928,0.42208128623667907,True,SLSQP
140,0.4,0.0,0.6,0.24121975124574427,3.1098886588450068,4.0,0.7316300982642713,0.1276054068139943,0.7808550781303799,0.34259389386155054,True,SLSQP
141,0.4,0.05,0.55,0.24263337390653297,3.095210918576452,4.0,0.7314755951380384,0.12859238261006395,0.7815454415552343,0.3379615532978077,True,SLSQP
142,0.4,0.1,0.5,0.2416780504210315,3.079886568009904,4.0,0.7313014757664718,0.12922265792164725,0.7823551576039259,0.33274009263636756,True,SLSQP
143,0.4,0.15,0.45,0.24000442413179296,3.0629998815976696,4.0,0.7311246345429678,0.12983291479408798,0.7833419243660396,0.32743707298635194,True,SLSQP
144,0.4,0.2,0.4,0.2286844802946539,3.1307042822180002,4.0,0.7320154656601441,0.1247378099551325,0.7807015346367664,0.3541943259895459,True,SLSQP
145,0.4,0.25,0.35,0.22438370868702062,3.228151337057115,4.0,0.7334097165970241,0.11960592836740352,0.7771173019968309,0.396072513895011,True,SLSQP
146,0.4,0.3,0.3,0.23964793857067895,4.5,6.0,0.7339261972176427,0.1015766186914877,0.7911057263361843,0.41160110730807226,True,SLSQP
147,0.4,0.35,0.25,0.23964786285850115,4.5,6.0,0.7339261972190062,0.10157659823272261,0.7911057166787225,0.4115996686301391,True,SLSQP
148,0.4,0.4,0.2,0.23964778623978292,4.5,6.0,0.7339261972204089,0.10157657752901673,0.7911057069056823,0.4115982299515231,True,SLSQP
149,0.4,0.45,0.15,0.23823501563886829,4.5,6.0,0.7339301027321053,0.10119863597493003,0.7909348744592583,0.4117133371341514,True,SLSQP
150,0.4,0.5,0.1,0.2294074433581666,4.5,6.0,0.7341245264712387,0.09900401907908413,0.7902757104105705,0.41754816425635916,True,SLSQP
151,0.4,0.55,0.05,0.22236444758124052,4.5,6.0,0.734478015310217,0.09744736861588488,0.7902208269586175,0.42816255031984113,True,SLSQP
152,0.4,0.6,0.0,0.21639182367492332,4.5,6.0,0.7349053177273077,0.09625179992765165,0.7904721618959947,0.44099462696321606,True,SLSQP
153,0.45,0.0,0.55,0.24164538650249057,3.0761145012372246,4.0,0.7312618351449796,0.12941397743942357,0.7825566618630718,0.372971016289692,True,SLSQP
154,0.45,0.05,0.5,0.24135848211435937,3.059904743575592,4.0,0.7310971896286147,0.13021968893844785,0.7834569004640825,0.36741592709058646,True,SLSQP
155,0.45,0.1,0.45,0.24138800240579053,3.0411419491363243,4.0,0.7309213243108156,0.13122916552974828,0.7845438081347891,0.3614819839062339,True,SLSQP
156,0.45,0.15,0.4,0.24235216867679074,3.0186335461573957,4.0,0.7307319440101921,0.1326203254609099,0.7858843052731925,0.35509181000866735,True,SLSQP
157,0.45,0.2,0.35,0.23123324966701342,3.0765984337216783,4.0,0.731369689902898,0.12782389899680918,0.7832705701893655,0.37664175738669925,True,Powell_retry
158,0.45,0.25,0.3,0.22659983624949084,3.177299060847365,4.0,0.7326480670511565,0.12221995755652264,0.7788256712639747,0.4198382744316478,True,SLSQP
159,0.45,0.3,0.25,0.22325224401225272,3.2558148416244164,4.0,0.7338495343015012,0.11824570990581365,0.7763228723120968,0.4604411282130609,True,SLSQP
160,0.45,0.35,0.2,0.23964868307968992,4.5,6.0,0.7339261972054266,0.10157681987211864,0.7911058213048633,0.4630356838511694,True,SLSQP
161,0.45,0.4,0.15,0.2396486137174693,4.5,6.0,0.7339261972064733,0.10157680112902484,0.7911058124568804,0.46303424517995057,True,SLSQP
162,0.45,0.45,0.1,0.2396485473417753,4.5,6.0,0.7339261972074925,0.10157678319296903,0.7911058039899073,0.46303280650811707,True,SLSQP
163,0.45,0.5,0.05,0.23938655780066606,4.5,6.0,0.7339263351617189,0.10150611998426992,0.7910727080105574,0.4630358912836649,True,SLSQP
164,0.45,0.55,0.0,0.23117673210326486,4.5,6.0,0.7340627202249642,0.09942148360721707,0.7903532748260933,0.4676395696054821,True,SLSQP
165,0.5,0.0,0.5,0.24215138248966378,3.040630358551617,4.0,0.7309198766907743,0.1313852802637638,0.7845420811798175,0.4015699858324439,True,SLSQP
166,0.5,0.05,0.45,0.2408232801168423,3.022088930596603,4.0,0.7307567595559085,0.13217372378324785,0.78574315142662,0.3954543232066233,True,SLSQP
167,0.5,0.1,0.4,0.24132691793729993,3.0,4.0,0.7305861440747441,0.13348424793664065,0.7871540864161942,0.3890573374720822,True,SLSQP
168,0.5,0.15,0.35,0.2373808817502174,3.2427811941869447,6.0,0.7305806887240485,0.13529692331057477,0.78943067986093,0.38886409428188917,True,SLSQP
169,0.5,0.2,0.3,0.23401140735470294,3.025725735357165,4.0,0.7308567800565954,0.13092914965989214,0.786066250541508,0.399227358625778,True,SLSQP
170,0.5,0.25,0.25,0.22852014418606376,3.130287764344932,4.0,0.7320154843990913,0.12473788722383315,0.7807399309555386,0.4427296401220104,True,Powell_retry
171,0.5,0.3,0.2,0.18645541586736827,3.6971490197371106,10.0,0.7327044665002866,0.11899336024017089,0.8089669024035966,0.46863709400037534,True,SLSQP
172,0.5,0.35,0.15,0.24181066852674632,4.4999999999660085,8.0,0.7334515465257154,0.11506155834632359,0.8138127567862364,0.4966865686320981,True,Powell_retry
173,0.5,0.4,0.1,0.23964927733208424,4.5,6.0,0.7339261971972293,0.10157698045205354,0.7911058971107433,0.5144702603358969,True,SLSQP
174,0.5,0.45,0.05,0.23964921640976644,4.5,6.0,0.7339261971980062,0.10157696398945451,0.7911058893390269,0.5144688216700407,True,SLSQP
175,0.5,0.5,0.0,0.23964915518027022,4.499999999999999,6.0,0.7339261971988018,0.10157694744386325,0.79110588152816,0.5144673830036413,True,SLSQP
176,0.55,0.0,0.45,0.24149667778650807,3.0032762376751805,4.0,0.7306102483926354,0.13332902038547492,0.7869251925384115,0.42893607899975467,True,SLSQP
177,0.55,0.05,0.4,0.24132699868484336,3.0,4.0,0.7305861440749681,0.13348426139880215,0.7871540815686434,0.42794667059005786,True,SLSQP
178,0.55,0.1,0.35,0.2379799589366247,3.2033868855835927,6.0,0.7303015340239563,0.1372692292635611,0.7906717951138309,0.4162051915592238,True,SLSQP
179,0.55,0.15,0.3,0.23854938975284176,3.1413496999724884,6.0,0.7299652186766064,0.14041822665565043,0.793083809579507,0.40232469009841976,True,SLSQP
180,0.55,0.2,0.25,0.22732136283058052,3.2084704753444786,6.0,0.7304962794303885,0.13437039499988943,0.790991560767659,0.42425818694549583,True,SLSQP
