method,run,points,HV,IGD_plus,Spacing,seconds,evaluations
分层网格 101x101,0,1362,0.9072096000000003,0.0012870988687759745,0.002823731973482732,0.6786299999803305,53006
分层网格 201x201,0,4679,0.908185666666667,0.0005560337116267069,0.0013143252209884785,2.8028841000050306,204006
分层网格 401x401,0,16858,0.908570177777778,4.675188187974744e-16,0.0006243584059821205,11.640704999910668,806006
分层 NSGA-II,202601,113,0.897005266666667,0.011193598572418905,0.018112830776966845,2.0452651999657974,15300
分层 NSGA-II,202602,112,0.8958813111111114,0.013048645421263225,0.015587175433214346,1.8460381999611855,15300
分层 NSGA-II,202603,110,0.8975080888888891,0.01168392204487813,0.02135590140078341,1.8320429000305012,15300
分层 NSGA-II,202604,108,0.8971827333333336,0.012563958478469407,0.019680024470789568,1.976899900007993,15300
分层 NSGA-II,202605,114,0.9000222000000003,0.008356412505161372,0.016466907346135533,2.0450066999765113,15300
分层 NSGA-II,202606,108,0.8958221555555558,0.011264400537615418,0.020860991507366464,1.78665549994912,15300
分层 NSGA-II,202607,107,0.8963841333333336,0.01595331412369703,0.01394593681649055,1.8698542000493035,15300
分层 NSGA-II,202608,104,0.8967686444444447,0.012498966478814566,0.015562588165363133,1.885959399980493,15300
分层 NSGA-II,202609,107,0.8978334444444448,0.011006170404386926,0.020448132346504198,1.8378657000139356,15300
分层 NSGA-II,202610,106,0.8964728666666669,0.011278265897984837,0.015210779345654374,1.90628110000398,15300
分层 NSGA-II,202611,105,0.8957334222222225,0.011931936956475316,0.013602849065501204,1.7057707998901606,15300
分层 NSGA-II,202612,107,0.8960292000000003,0.01201760449811265,0.015397566717883672,1.8900365999434143,15300
分层 NSGA-II,202613,109,0.8949644000000002,0.01210395930029232,0.01534259655097363,1.8610178999369964,15300
分层 NSGA-II,202614,105,0.8938700222222226,0.01828917921441049,0.015327450583244992,1.9837729000719264,15300
分层 NSGA-II,202615,102,0.8974193555555559,0.01337372881535576,0.01903489818619183,1.8038469000020996,15300
分层 NSGA-II,202616,108,0.8945207333333337,0.016173149045651692,0.022983720463606656,1.8910570000298321,15300
分层 NSGA-II,202617,110,0.8977447111111114,0.0106339033919047,0.013990626416739,1.8278149999678135,15300
分层 NSGA-II,202618,109,0.8966503333333335,0.013872846791145033,0.01589314454209475,1.8970705999527127,15300
分层 NSGA-II,202619,105,0.8991644444444448,0.009187819522685941,0.02070308760867884,1.8253476000390947,15300
分层 NSGA-II,202620,110,0.8978038666666669,0.012469620384043093,0.017122199109297215,1.8774234000593424,15300
