seed,N,generation,min_R,min_P,min_U
202603,8,31,0.7278114406758077,0.0886106334225494,0.8046852287236058
202603,8,41,0.7278114406758077,0.0886106334225494,0.8046839052547365
202603,8,50,0.7278114406758077,0.0886106334225494,0.8046839052547365
202603,10,1,0.7204337124979332,0.09236714845652477,0.8066145855764751
202603,10,11,0.720230800545297,0.08846360771333533,0.8064757181613603
202603,10,21,0.7202285138254126,0.08846360771333533,0.8064700480883366
202603,10,31,0.7202285138254126,0.08846360771333533,0.8064621780871665
202603,10,41,0.7202285138254126,0.08846360771333533,0.8064621780871665
202603,10,50,0.7202285138254126,0.08846360771333533,0.8064621780871665
202604,2,1,0.7368288173744962,0.07735154936450406,0.782536268310877
202604,2,11,0.7358167835084861,0.0760398180321516,0.779037055401307
202604,2,21,0.7357872703005411,0.0760398180321516,0.7790232734945187
202604,2,31,0.735786646357177,0.07603979235713576,0.7790228745905221
202604,2,41,0.735786646357177,0.07603979172993477,0.7790228745905221
202604,2,50,0.735786646357177,0.07603979172993477,0.7790228745905221
202604,4,1,0.7320110497159316,0.08175442307134775,0.7718510073458249
202604,4,11,0.7305862602521678,0.0803730898653527,0.7717868004157559
202604,4,21,0.7305861451464057,0.0803730898653527,0.7717866254595321
202604,4,31,0.7305861451464057,0.0803730898653527,0.7717866254595321
202604,4,41,0.7305861451464057,0.0803730898653527,0.7717866254595321
202604,4,50,0.7305861451464057,0.0803730898653527,0.7717866254595321
202604,6,1,0.7297582432051128,0.08940844998041825,0.7857913535163907
202604,6,11,0.7297433428906881,0.08474322237315819,0.7857735758971965
202604,6,21,0.7297384855345397,0.08423031629596314,0.7857735758971965
202604,6,31,0.7297380543117572,0.08423031629596314,0.7857735758971965
202604,6,41,0.7297375892670463,0.08423031629596314,0.7857729102074592
202604,6,50,0.7297373439496155,0.08423031629596314,0.7857729102074592
202604,8,1,0.7278604094936019,0.09370973748028515,0.8050796362655461
202604,8,11,0.7278252411655871,0.0886106334225494,0.804688879039477
202604,8,21,0.7278150910583959,0.0886106334225494,0.8046838155664938
202604,8,31,0.7278120497907639,0.0886106334225494,0.8046838155664938
202604,8,41,0.7278120497907639,0.0886106334225494,0.8046838105132053
202604,8,50,0.7278120497907639,0.0886106334225494,0.8046838105132053
202604,10,1,0.7207867653637511,0.09336768893561256,0.806679372870198
202604,10,11,0.7202469997519422,0.08846360771333533,0.806472086866239
202604,10,21,0.7202343880898647,0.08846360771333533,0.806472086866239
202604,10,31,0.7202270973219069,0.08846360771333533,0.8064673161064153
202604,10,41,0.7202270440784924,0.08846360771333533,0.8064618709445955
202604,10,50,0.7202270440784924,0.08846360771333533,0.8064618306268433
202605,2,1,0.736402248314863,0.07768292735262855,0.7835426639577519
202605,2,11,0.7357866343096782,0.07604110680442366,0.779025209761457
202605,2,21,0.7357866343096782,0.07604110680442366,0.7790246265025835
202605,2,31,0.7357866343096782,0.07604040812017203,0.779023935652748
202605,2,41,0.7357866295398207,0.0760397917397492,0.7790228738414599
202605,2,50,0.7357866295398207,0.0760397917397492,0.7790228738414599
202605,4,1,0.7307114257775225,0.08414667348100044,0.7725556595939574
202605,4,11,0.7305861685452448,0.0804257692238971,0.771786736615149
202605,4,21,0.7305861446250249,0.0803730898653527,0.771786736615149
202605,4,31,0.7305861446250249,0.0803730898653527,0.7717866763338526
202605,4,41,0.7305861446250249,0.0803730898653527,0.7717866763338526
202605,4,50,0.7305861446250249,0.0803730898653527,0.7717866763338526
202605,6,1,0.7301685464654892,0.08571644686623335,0.7863594665755886
202605,6,11,0.729781449620988,0.08423031629596314,0.785775656305214
202605,6,21,0.7297456007974856,0.08423031629596314,0.7857740892891321
202605,6,31,0.7297399117869212,0.08423031629596314,0.7857740892891321
202605,6,41,0.7297399117869212,0.08423031629596314,0.7857735966858188
202605,6,50,0.7297387313515694,0.08423031629596314,0.7857731571842558
202605,8,1,0.7278693640863292,0.09235887841495655,0.8047246686286281
202605,8,11,0.727820627266288,0.0886106334225494,0.8046898174017063
202605,8,21,0.7278193011401958,0.0886106334225494,0.8046898174017063
202605,8,31,0.7278135855188176,0.0886106334225494,0.8046898174017063
202605,8,41,0.727811760415976,0.0886106334225494,0.8046875942456886
202605,8,50,0.727811760415976,0.0886106334225494,0.8046843592365542
202605,10,1,0.720368264215225,0.09075094726307384,0.8066418519517522
202605,10,11,0.7202431447759085,0.08846360771333533,0.8064946747826446
202605,10,21,0.7202278998974108,0.08846360771333533,0.8064686211100552
202605,10,31,0.7202278998974108,0.08846360771333533,0.8064686211100552
202605,10,41,0.7202278998974108,0.08846360771333533,0.8064671547134568
202605,10,50,0.7202278998974108,0.08846360771333533,0.8064628789038331
202606,2,1,0.7361137713212488,0.0760630382030857,0.7790278940604036
202606,2,11,0.7357866450847617,0.07604246907090498,0.7790231634637289
202606,2,21,0.7357866303003151,0.07603992234181708,0.7790229349600061
202606,2,31,0.7357866303003151,0.07603992234181708,0.779022926962622
202606,2,41,0.7357866295621542,0.07603992234181708,0.7790228780431183
202606,2,50,0.7357866295621542,0.07603979169323385,0.779022873712221
202606,4,1,0.7315988266783608,0.08167410248439405,0.7718525912038641
202606,4,11,0.7305861730475884,0.0803730898653527,0.771845530330153
202606,4,21,0.7305861620369545,0.0803730898653527,0.7717951272317309
202606,4,31,0.730586156681245,0.0803730898653527,0.7717867117857304
202606,4,41,0.730586156681245,0.0803730898653527,0.7717867117857304
202606,4,50,0.7305861451499404,0.0803730898653527,0.7717867117857304
202606,6,1,0.7309632064847372,0.08442404262161984,0.7865944040015537
202606,6,11,0.7297447262863294,0.08423031629596314,0.785788592559381
202606,6,21,0.7297402539797284,0.08423031629596314,0.7857803027366062
202606,6,31,0.7297397808719658,0.08423031629596314,0.7857800299693477
202606,6,41,0.7297394866880453,0.08423031629596314,0.7857800299693477
202606,6,50,0.729737249443426,0.08423031629596314,0.7857728685822732
202606,8,1,0.7278429869155352,0.09027383946267507,0.804688770289184
202606,8,11,0.7278118564660487,0.0886106334225494,0.8046873287663875
202606,8,21,0.7278118564660487,0.0886106334225494,0.8046872226631626
202606,8,31,0.7278118564660487,0.0886106334225494,0.8046872226631626
202606,8,41,0.7278116379691472,0.0886106334225494,0.8046838616639054
202606,8,50,0.7278116379691472,0.0886106334225494,0.8046838616639054
202606,10,1,0.7204243996029376,0.09114880168790858,0.806621049120517
202606,10,11,0.7202317698582096,0.08846360771333533,0.8065099436357398
202606,10,21,0.7202281844221656,0.08846360771333533,0.8064728085761393
202606,10,31,0.7202273890207056,0.08846360771333533,0.8064672108232757
202606,10,41,0.7202270652235744,0.08846360771333533,0.8064626793281343
202606,10,50,0.7202270652235744,0.08846360771333533,0.8064626793281343
202607,2,1,0.7377512266931389,0.07755545303192957,0.7826927501525361
202607,2,11,0.7357868740047875,0.07603982039935028,0.779035411717963
202607,2,21,0.7357866318192429,0.07603979466281507,0.7790228733563836
202607,2,31,0.7357866301684404,0.07603979466281507,0.7790228733563836
202607,2,41,0.7357866301684404,0.07603979201642497,0.7790228733563836
202607,2,50,0.7357866298171639,0.07603979201642497,0.7790228733563836
202607,4,1,0.7307624308592452,0.08165302047989192,0.7720814288779253
202607,4,11,0.7305869690459547,0.0803730898653527,0.7718046064169568
202607,4,21,0.730586846700217,0.0803730898653527,0.7717867082419675
202607,4,31,0.7305863903963041,0.0803730898653527,0.7717866246760557
202607,4,41,0.7305861643799242,0.0803730898653527,0.7717866246760557
202607,4,50,0.7305861643799242,0.0803730898653527,0.7717866245883456
202607,6,1,0.7308837143201141,0.08732375231679368,0.785854199363257
202607,6,11,0.7297368692861944,0.08423031629596314,0.7857769160572594
202607,6,21,0.7297368692861944,0.08423031629596314,0.7857731720058431
202607,6,31,0.7297368692861944,0.08423031629596314,0.7857731720058431
202607,6,41,0.7297368692861944,0.08423031629596314,0.7857728683832403
202607,6,50,0.7297368419019775,0.08423031629596314,0.7857728683832403
202607,8,1,0.7278234200423304,0.09159557480360488,0.8053940866413645
202607,8,11,0.7278117218393017,0.0886106334225494,0.804687533853731
202607,8,21,0.7278117218393017,0.0886106334225494,0.8046836915603544
202607,8,31,0.7278114758853977,0.0886106334225494,0.8046834788679815
202607,8,41,0.727811443734336,0.0886106334225494,0.8046834788679815
202607,8,50,0.727811443734336,0.0886106334225494,0.8046834788679815
202607,10,1,0.7215647292769524,0.08916786618640188,0.8078788652504413
202607,10,11,0.720232335310845,0.08846360771333533,0.8064836734900677
202607,10,21,0.7202270489769603,0.08846360771333533,0.8064655675533287
202607,10,31,0.7202270489769603,0.08846360771333533,0.8064655675533287
202607,10,41,0.7202270489769603,0.08846360771333533,0.8064633286858163
202607,10,50,0.7202270489769603,0.08846360771333533,0.8064633286858163
202608,2,1,0.7358989627844184,0.07668141034189717,0.780404855230549
202608,2,11,0.7357916145559383,0.07604064231976437,0.7790228972559641
202608,2,21,0.7357866396065198,0.07603986260322693,0.7790228972559641
202608,2,31,0.7357866294983139,0.07603979170243813,0.7790228972559641
202608,2,41,0.7357866294983139,0.07603979170243813,0.7790228732672306
202608,2,50,0.7357866294983139,0.07603979170243813,0.7790228732672306
202608,4,1,0.7312147105392989,0.08335248175985625,0.7718489089047985
202608,4,11,0.7305969382357951,0.0803730898653527,0.771786827311438
202608,4,21,0.7305861442455353,0.0803730898653527,0.7717866416914165
202608,4,31,0.7305861442455353,0.0803730898653527,0.7717866247259254
202608,4,41,0.7305861442455353,0.0803730898653527,0.7717866247259254
202608,4,50,0.7305861442455353,0.0803730898653527,0.7717866247259254
202608,6,1,0.7298014730356037,0.08719058370447011,0.7862690809782096
202608,6,11,0.729740587055431,0.0844007130496278,0.7857885343694376
202608,6,21,0.7297380504430097,0.08423031629596314,0.7857735251536193
202608,6,31,0.7297368219517174,0.08423031629596314,0.7857734350724613
202608,6,41,0.7297368219517174,0.08423031629596314,0.7857730065411048
202608,6,50,0.7297368219517174,0.08423031629596314,0.7857730065411048
202608,8,1,0.7281107901407123,0.09097695493864882,0.8049854280609917
202608,8,11,0.7278297138861081,0.0886106334225494,0.8047142184941486
202608,8,21,0.727816384947139,0.0886106334225494,0.8046868185712497
202608,8,31,0.7278127412088922,0.0886106334225494,0.8046862819671915
202608,8,41,0.7278127412088922,0.0886106334225494,0.8046842401699149
202608,8,50,0.7278125429432544,0.0886106334225494,0.8046842401699149
202608,10,1,0.7202331030669293,0.0914471524912514,0.8067073992384753
202608,10,11,0.7202296202197267,0.08846360771333533,0.8064705262439511
202608,10,21,0.7202292586990727,0.08846360771333533,0.8064673307364912
202608,10,31,0.720228131082119,0.08846360771333533,0.8064627675515026
202608,10,41,0.720228131082119,0.08846360771333533,0.8064624091692792
202608,10,50,0.720228131082119,0.08846360771333533,0.8064624091692792
202609,2,1,0.7363602550169186,0.076040946024613,0.7790669561845204
202609,2,11,0.7357866426255526,0.07603979572465064,0.7790233149667005
202609,2,21,0.7357866426255526,0.0760397956925789,0.7790230653997532
202609,2,31,0.7357866426255526,0.07603979305084926,0.7790229290455786
202609,2,41,0.7357866297492971,0.07603979305084926,0.779022877003173
202609,2,50,0.7357866297492971,0.07603979201234108,0.779022877003173
202609,4,1,0.7306203758320229,0.0814884817502165,0.7719451049020852
202609,4,11,0.7305862349781812,0.0803730898653527,0.7718022334109335
202609,4,21,0.7305861487406713,0.0803730898653527,0.7717869111165426
202609,4,31,0.7305861476149199,0.0803730898653527,0.7717866591650582
202609,4,41,0.7305861476149199,0.0803730898653527,0.7717866591650582
202609,4,50,0.7305861476149199,0.0803730898653527,0.7717866591650582
202609,6,1,0.7299159125076145,0.08890949859342459,0.7858327789938693
202609,6,11,0.7297375859820765,0.08423031629596314,0.7857935213809768
202609,6,21,0.7297375859820765,0.08423031629596314,0.7857812588019545
202609,6,31,0.7297374004291733,0.08423031629596314,0.7857747523189806
202609,6,41,0.729736864771541,0.08423031629596314,0.7857738918475958
202609,6,50,0.729736864771541,0.08423031629596314,0.7857738918475958
202609,8,1,0.7279333310517047,0.09199843195076496,0.8059058284437343
202609,8,11,0.7278117007922658,0.0886106334225494,0.8046904517935413
202609,8,21,0.7278117007922658,0.0886106334225494,0.8046863835203025
202609,8,31,0.7278114217848863,0.0886106334225494,0.8046855692506513
202609,8,41,0.7278114217848863,0.0886106334225494,0.8046855692506513
202609,8,50,0.7278114217848863,0.0886106334225494,0.804683477227635
202609,10,1,0.7203058351919599,0.08875235868973184,0.8066395409526371
202609,10,11,0.7202500314798957,0.08846360771333533,0.8064891312878216
202609,10,21,0.720236338247627,0.08846360771333533,0.8064796313331092
202609,10,31,0.7202273021308844,0.08846360771333533,0.8064628296673292
202609,10,41,0.7202273021308844,0.08846360771333533,0.8064628296673292
202609,10,50,0.7202272585677741,0.08846360771333533,0.8064628296673292
202610,2,1,0.7369095522411063,0.07739567709781317,0.7818254039328125
202610,2,11,0.7357869424880217,0.07614675435302093,0.7797016452538607
202610,2,21,0.7357866382820659,0.0760402221863028,0.7790263855079852
202610,2,31,0.7357866361177408,0.07603982115583355,0.779024342948067
202610,2,41,0.7357866302897627,0.07603981526412734,0.7790229069319771
202610,2,50,0.7357866302897627,0.07603981509722058,0.7790228827986728
202610,4,1,0.7305922303105113,0.08475880872827754,0.7718791534945701
202610,4,11,0.7305861488211441,0.08167919812042021,0.7717866547914479
202610,4,21,0.7305861488211441,0.0803730898653527,0.7717866547914479
202610,4,31,0.7305861488211441,0.0803730898653527,0.7717866547914479
202610,4,41,0.7305861487595251,0.0803730898653527,0.7717866271247686
202610,4,50,0.7305861440907468,0.0803730898653527,0.7717866271247686
202610,6,1,0.7304242042983549,0.08693466311246278,0.7857977500417196
202610,6,11,0.7297493720900898,0.08423031629596314,0.7857971641297732
202610,6,21,0.7297454188434784,0.08423031629596314,0.7857730156712379
202610,6,31,0.7297419082424296,0.08423031629596314,0.7857730156712379
202610,6,41,0.7297375386294016,0.08423031629596314,0.7857729524105744
202610,6,50,0.7297375201120868,0.08423031629596314,0.7857729151734519
202610,8,1,0.7279229585233273,0.09291636177062301,0.804756225862995
202610,8,11,0.7278129002458072,0.0886106334225494,0.8046854557810105
202610,8,21,0.7278117992401547,0.0886106334225494,0.8046838580574459
202610,8,31,0.7278117992401547,0.0886106334225494,0.8046838580574459
202610,8,41,0.7278117992401547,0.0886106334225494,0.8046838580574459
202610,8,50,0.7278117992401547,0.0886106334225494,0.8046838580574459
202610,10,1,0.7204622738199632,0.09243486076490409,0.8068816115483242
202610,10,11,0.7202942657277773,0.08846360771333533,0.806504956870937
202610,10,21,0.7202276141120454,0.08846360771333533,0.8064675758142804
202610,10,31,0.7202276141120454,0.08846360771333533,0.8064619049663608
202610,10,41,0.7202276141120454,0.08846360771333533,0.8064619049663608
202610,10,50,0.7202276141120454,0.08846360771333533,0.8064619049663608
202611,2,1,0.7370627579980352,0.07609637195247786,0.7790318781400637
202611,2,11,0.7357866421531938,0.07604032340999392,0.7790265632167568
202611,2,21,0.7357866298657265,0.0760397925442137,0.7790246744315568
202611,2,31,0.7357866298657265,0.0760397925442137,0.7790228977560347
202611,2,41,0.7357866294948991,0.0760397925442137,0.7790228977560347
202611,2,50,0.7357866294948991,0.07603979175018173,0.7790228749541779
202611,4,1,0.7307426565481253,0.08151922237290996,0.7719582434872344
202611,4,11,0.7305861494497284,0.0803730898653527,0.7717971085495386
202611,4,21,0.7305861492579167,0.0803730898653527,0.7717876840340022
202611,4,31,0.7305861492579167,0.0803730898653527,0.7717867854866619
202611,4,41,0.7305861441508215,0.0803730898653527,0.7717867854866619
202611,4,50,0.7305861441508215,0.0803730898653527,0.7717866284488776
202611,6,1,0.7299215653294786,0.0850940247435642,0.785792197834081
202611,6,11,0.7297609723642954,0.08423031629596314,0.7857755186200746
202611,6,21,0.7297422154807883,0.08423031629596314,0.7857750638469165
202611,6,31,0.7297375289824443,0.08423031629596314,0.7857728601732532
202611,6,41,0.7297371814060017,0.08423031629596314,0.7857728601732532
202611,6,50,0.7297371814060017,0.08423031629596314,0.7857728601732532
202611,8,1,0.7278741113636822,0.08990199895526904,0.8049679493541344
202611,8,11,0.7278168789917705,0.0886106334225494,0.8046870196657583
202611,8,21,0.7278143413648798,0.0886106334225494,0.8046836384592807
202611,8,31,0.7278143413648798,0.0886106334225494,0.8046835945196679
202611,8,41,0.7278130946960204,0.0886106334225494,0.8046835945196679
202611,8,50,0.7278115840576601,0.0886106334225494,0.8046835945196679
202611,10,1,0.7202818315261825,0.0941046219134212,0.8071977122439077
202611,10,11,0.7202381566278279,0.08846360771333533,0.8064643887652219
202611,10,21,0.7202280811171289,0.08846360771333533,0.8064619085161401
202611,10,31,0.7202280811171289,0.08846360771333533,0.8064619085161401
202611,10,41,0.7202273438611082,0.08846360771333533,0.8064619085161401
202611,10,50,0.7202273438611082,0.08846360771333533,0.8064619085161401
202612,2,1,0.7364757930271104,0.07715370303235736,0.7812196163147158
202612,2,11,0.735798605664569,0.07603982995793618,0.7790254084345735
202612,2,21,0.7357866310486999,0.07603981615654334,0.7790234583536558
202612,2,31,0.735786630999795,0.07603979174745393,0.7790232907505203
202612,2,41,0.7357866295103782,0.07603979174745393,0.7790230036493028
202612,2,50,0.7357866295103782,0.07603979174745393,0.7790228824833452
202612,4,1,0.7311070213201758,0.0826519477533802,0.771933485519762
