扰动因素,Theta_R,P,U,C_op
ε_a,-0.0072062091578461995,0.14344592831213798,-0.0007720606405570152,-0.0024157840707916545
ε_b,-0.0218250744336813,-0.09424520698236478,-0.038686083234818466,-0.031612702809224805
s_m,-0.2426424336445389,0.9848730312056416,-0.9994094535584871,-0.48787584110265747
s_q,0.970209011703222,-0.00014040324564346118,-0.000281135120279441,0.7412797316180804
