机制,U模型,a,b,N,CVaR95_Cop,Cmax,Cnom,mean_Theta,sd_Theta,q95_Theta,cvar95_Theta,max_Theta,mean_P,sd_P,q95_P,cvar95_P,max_P,mean_U,sd_U,q95_U,cvar95_U,max_U
S1,A,0.22567550105399128,3.4109177545260354,10.0,0.9671257883374331,1.0418266016826265,0.7821640880435555,0.7232075773526639,0.020895354072517452,0.7558836663505832,0.7579162176294183,0.7618366421126551,0.1406184809842506,0.0050663564182452485,0.1485271248059271,0.1496112629596825,0.15239795408319404,0.8074437259339075,0.005835100464055027,0.8166332194067379,0.8172203915716665,0.8181341717863919
S1,B,0.2411209115064297,3.075602906761121,4.0,1.1612361735901755,1.2736207105078812,0.6462164913109464,0.7312988918464901,0.021128469717971863,0.7642641762641115,0.7664039825452688,0.7704474035755335,0.12940137636621346,0.00466014229828982,0.13672812457720604,0.13766089364452375,0.1400148918946849,0.7827722109461089,0.02316408670613611,0.8190458428949204,0.8241295719605982,0.832466950731949
S2,A,0.22092939530183245,3.48408394705313,10.0,1.1558336242345957,1.260452022836577,0.730738842795838,0.7246744897501288,0.021449672257620414,0.7581458848709286,0.7627683054504979,0.7705692045178401,0.13619424088276286,0.006039541395533915,0.14561483061520392,0.1467458771388317,0.1496400215285337,0.8069021808320954,0.011657729783961979,0.8254144276960488,0.8265108035502939,0.8277168292279635
S2,B,0.2407638030036165,3.111031953030975,4.0,1.2582831211230272,1.4579398121059064,0.6234144052499103,0.7317726364383212,0.021659427995918166,0.7657055032573984,0.7702629356315066,0.7780536727925587,0.1275515683227156,0.00566107416797579,0.136418624219859,0.1374371957991794,0.1399817936883426,0.7811186473715667,0.02496633976109043,0.8220542718049668,0.8290018700358956,0.8412491485153885
S3,A,0.22229341471953845,3.4647425618877628,10.0,1.4216788332049082,1.600488771196534,0.7425817938624876,0.7244881100063297,0.024144414780675878,0.7650281131775185,0.7716579375903566,0.7841510622557233,0.13741972078899967,0.00726046894786844,0.14879474135732196,0.1500033376121293,0.1531724507410197,0.8072610750998228,0.018662464593232786,0.8370074453556118,0.8387922140744353,0.8407179971818023
S3,B,0.24136622442978975,3.0767720748322933,4.0,1.4810147085939895,1.7921136608953505,0.6459707275749984,0.7316096387812246,0.02438060815446313,0.7724860716877118,0.7792552063692558,0.7918046186856619,0.12944607792947302,0.006846711068653656,0.14014109069298084,0.1413100225550341,0.1441254724566861,0.7830599052182536,0.02861277909858963,0.8319843439448499,0.840255393730294,0.8562001700090899
