方案,a,b,N,C_nom,均值,标准差,Q95,CVaR95_L20000,CVaR95_L40000,收敛差
问题3名义（越域诊断）,0.2249317396262705,4.5,6.0,0.3863827466714411,0.3864207088087073,0.011573864811911637,0.40344990932297303,0.4044269268416125,0.4044322192811302,5.292439517690095e-06
名义可行投影,0.2249317396262705,4.4625,6.0,0.40443873756692056,0.4045128561258179,0.009393188584030458,0.4181651498870821,0.41907444569297014,0.4190950843888177,2.0638695847563504e-05
问题4偏好鲁棒（越域诊断）,0.2249317396262705,4.5,6.0,0.3863827466714411,0.3864207088087073,0.011573864811911637,0.40344990932297303,0.4044269268416125,0.4044322192811302,5.292439517690095e-06
问题5结构鲁棒,0.22400581543789444,4.4625,6.0,0.40443165015820176,0.40449858073528905,0.009350730023459531,0.4181343219769579,0.4189253986226185,0.4189164132568913,-8.985365727243178e-06
最佳原始样本（越域诊断）,0.2,4.5,6.0,0.43219524272602966,0.4320396584327343,0.014214928411557507,0.45562352118307337,0.4590997644343275,0.45881398000851037,-0.00028578442581711494
