方案,a,b,N,C_nom,CVaR95_C,C_max,mean_R,sd_R,q95_R,cvar95_R,max_R,mean_P,sd_P,q95_P,cvar95_P,max_P,mean_U,sd_U,q95_U,cvar95_U,max_U,D_R,D_P,D_U,D_rms
问题3名义,0.2249317396262705,4.5,6.0,0.3863827466714411,0.40445575964301994,0.40674158205563493,0.7343246550054312,0.0005645203396803353,0.7351916560205498,0.7352942671066814,0.7355090045493732,0.09800903597924955,0.000754945776434509,0.09926626085696286,0.09945302070683505,0.09981331013739947,0.7901970167088169,0.0005514290743718416,0.7910067775945749,0.7910561335770879,0.7911650152723596,0.02951973794047085,0.02202659101478455,0.02035293986982072,0.024295594944702764
问题4偏好鲁棒,0.2249317396262705,4.5,6.0,0.3863827466714411,0.40445575964301994,0.40674158205563493,0.7343246550054312,0.0005645203396803353,0.7351916560205498,0.7352942671066814,0.7355090045493732,0.09800903597924955,0.000754945776434509,0.09926626085696286,0.09945302070683505,0.09981331013739947,0.7901970167088169,0.0005514290743718416,0.7910067775945749,0.7910561335770879,0.7911650152723596,0.02951973794047085,0.02202659101478455,0.02035293986982072,0.024295594944702764
问题5结构鲁棒,0.22389178955114528,4.462499650159275,6.0,0.4044406048972834,0.4189398117155067,0.4206726924988522,0.735267271521148,0.000503269605570653,0.7360426176568691,0.7361451887267654,0.7363490087078606,0.0984924953316368,0.0007466594746778097,0.09973631935970134,0.09992183578520496,0.10027936507025344,0.7910586737352328,0.0004451133075456378,0.7917058400854354,0.7917461841701526,0.7918287758747901,0.026965446028146548,0.021817736358031647,0.01622815393821497,0.022109589771016125
最佳原始样本,0.2,4.5,6.0,0.43219524272602966,0.4588389129242219,0.46556484299184103,0.7366047014813533,0.0006299974009206957,0.7376408980304014,0.7377911785751307,0.7380939917630581,0.09349964028397574,0.0005929017603086573,0.09449187441031709,0.09464676509543658,0.09494115885190407,0.7923708158769642,0.0006714137666701516,0.79347830411135,0.7936475240719332,0.7939679795302977,0.03706439398501632,0.017583407011932298,0.03336255884336345,0.030528706906782412
