扰动因素,R,P,U,C_str
ε_a,-0.313485684067195,0.8372576854442564,-0.019602736550447197,-0.01956116856525758
ε_b,-0.9471108244574445,-0.5508672822304392,-0.9958043066282947,-0.9958061609453593
