H,权重数,a,b,N,最大遗憾,平均遗憾,P95遗憾
25,351,0.2249317396262705,4.5,6,1.1589625110348225,0.3438083393588622,0.8680371855707278
50,1326,0.2249317396262705,4.5,6,1.1589625110348225,0.3327443752642695,0.8356242739279175
100,5151,0.2249317396262705,4.5,6,1.1589625110348225,0.3270939069294929,0.8219386490284999
