response,degree,outer_fold,outer_repeat,test_size,selected_alpha,rmse,nrmse,max_absolute_error
R,2,29,5,16,1.0,0.004392211048316412,0.08469198527441445,0.008164112602921492
R,2,30,6,16,0.1,0.005263817791260009,0.1014985787250536,0.009405607948996919
R,2,31,6,16,1e-08,0.005150273001195188,0.09930917261902361,0.011192403661141603
R,2,32,6,16,1e-08,0.004606706710789475,0.08882795763270032,0.011054911071908036
R,2,33,6,16,1.0,0.005289815049927312,0.10199986598652759,0.014784407845058078
R,2,34,6,16,1.0,0.003922176968887144,0.07562864134681437,0.007434624339680007
R,2,35,7,16,1.0,0.004600210056124495,0.08870268710831822,0.008310497933441074
R,2,36,7,16,1.0,0.005060250715695746,0.09757333479292227,0.013494171110767228
R,2,37,7,16,1.0,0.00480859990921215,0.09272092534297731,0.013164175687362278
R,2,38,7,16,0.1,0.0050420806573979885,0.09722297405368165,0.01098034927165259
R,2,39,7,16,1.0,0.006070383374905881,0.11705102822749032,0.013476593012604399
R,2,40,8,16,1.0,0.0047064045416633435,0.0907503623467218,0.008646695964891093
R,2,41,8,16,1.0,0.005461248656998111,0.10530550234276442,0.0144708584593779
R,2,42,8,16,1.0,0.003986410798878825,0.07686721811918053,0.010182486806637914
R,2,43,8,16,1.0,0.0028985080380237965,0.05588993729437909,0.00794730266507404
R,2,44,8,16,1.0,0.0058846684651256516,0.11347001533186106,0.013285873777373336
R,2,45,9,16,1.0,0.004809757044080651,0.09274323757892533,0.012129943262768728
R,2,46,9,16,10.0,0.005240329965588645,0.10104567913439078,0.013241268461934186
R,2,47,9,16,1e-08,0.004633712327582573,0.08934868837050132,0.009840209359211372
R,2,48,9,16,1.0,0.005195570608719603,0.10018261523533288,0.011918850613608867
R,2,49,9,16,0.1,0.005227922739862963,0.10080643913273864,0.013474849432476455
R,3,0,0,16,1e-05,3.641414217267927e-07,7.021488627808804e-06,6.450980162275854e-07
R,3,1,0,16,1e-08,3.025817565838717e-07,5.834475937291441e-06,6.473562131903421e-07
R,3,2,0,16,1e-08,4.017660504712246e-07,7.746978470743414e-06,7.935673178582903e-07
R,3,3,0,16,1e-08,3.5422323746068544e-07,6.8302431009946804e-06,5.765576546190587e-07
R,3,4,0,16,1e-05,3.833200433811807e-07,7.3912968007014975e-06,6.759211743645466e-07
R,3,5,1,16,1e-08,3.498901243297135e-07,6.746690660220844e-06,7.027789749036728e-07
R,3,6,1,16,1e-05,3.41618813320372e-07,6.587200657919664e-06,6.381594498394705e-07
R,3,7,1,16,1e-05,2.4692544954978305e-07,4.76129364165332e-06,5.541249091800537e-07
R,3,8,1,16,1e-05,3.5133138052314273e-07,6.7744814122971485e-06,6.487599546467493e-07
R,3,9,1,16,1e-05,2.9354879812797393e-07,5.660299611036688e-06,5.108568110756551e-07
R,3,10,2,16,1e-06,2.9736118591802126e-07,5.733811263146122e-06,5.773718294577179e-07
R,3,11,2,16,1e-08,3.4375645856189394e-07,6.628419401127892e-06,5.950880701544037e-07
R,3,12,2,16,1e-08,3.3929630841385445e-07,6.542417392912866e-06,5.87028051390881e-07
R,3,13,2,16,1e-05,3.7216718305005793e-07,7.176243864369326e-06,6.957567083576421e-07
R,3,14,2,16,1e-05,3.3471597321442276e-07,6.45409793899891e-06,6.258017971605412e-07
R,3,15,3,16,1e-05,3.012718788951597e-07,5.809218466577186e-06,5.304140593409556e-07
R,3,16,3,16,1e-08,3.2650733789004666e-07,6.295816468831037e-06,6.705645503313207e-07
R,3,17,3,16,1e-07,4.28347270895853e-07,8.259525865213796e-06,6.780359200764252e-07
R,3,18,3,16,1e-05,3.428805944479095e-07,6.611530715719118e-06,7.563300998825184e-07
R,3,19,3,16,1e-06,2.2901329854627842e-07,4.415905951413938e-06,3.983145109298647e-07
R,3,20,4,16,1e-05,4.5629769944351645e-07,8.798474758364013e-06,8.314871057235607e-07
R,3,21,4,16,1e-08,3.852105623323855e-07,7.427750377593667e-06,7.437704757640162e-07
R,3,22,4,16,1e-08,2.759483354488353e-07,5.320921992418871e-06,5.543462717749748e-07
R,3,23,4,16,1e-05,2.881327900834531e-07,5.555866452313933e-06,4.906061131793038e-07
R,3,24,4,16,1e-05,3.884774511389609e-07,7.4907435479254265e-06,7.258826879574798e-07
R,3,25,5,16,1e-05,3.409428203146856e-07,6.574165949647814e-06,6.179615371637581e-07
R,3,26,5,16,1e-05,4.547009370809934e-07,8.767685487765239e-06,9.288477315072541e-07
R,3,27,5,16,1e-08,3.4247235421334916e-07,6.603658900008655e-06,6.283080771218863e-07
R,3,28,5,16,1e-05,3.850532715408011e-07,7.424717447422933e-06,8.795777247661007e-07
R,3,29,5,16,1e-08,2.3631366992364408e-07,4.556673992473031e-06,4.054328507363536e-07
R,3,30,6,16,1e-08,3.124893565834871e-07,6.025517374973233e-06,5.702700974774544e-07
R,3,31,6,16,1e-06,3.9793735841161844e-07,7.673152434615956e-06,7.99778153814934e-07
R,3,32,6,16,1e-08,2.9101867476129953e-07,5.611512982034656e-06,4.972215736920305e-07
R,3,33,6,16,1e-08,3.278745660247105e-07,6.322179788756681e-06,6.468318050067978e-07
R,3,34,6,16,1e-08,2.642165235619067e-07,5.094705531360877e-06,4.32353335133584e-07
R,3,35,7,16,1e-05,3.9760117466209896e-07,7.666670034555805e-06,6.161742208687926e-07
R,3,36,7,16,1e-05,2.903605362724427e-07,5.598822550132902e-06,6.901390949831665e-07
