model,pareto_points,hypervolume,union_igd,best_equal_weight_score
current_ridge,1362,0.9029143218615927,0.00047459972983598963,0.38645438154565137
cubic_ols,1365,0.9031044810756997,0.0004560811848360148,0.38635802815537423
matern_gp,1295,0.8933257011818969,0.0063032645069438014,0.395569213194927
