scale_R,scale_P,scale_U,a,b,N,R,P,U,score
0.95,0.95,0.95,0.22493196750045474,4.5,6.0,0.7343296967928736,0.0979958263049404,0.7901950866267188,0.406718680711
0.95,0.95,1.0,0.22493196750045474,4.5,6.0,0.7343296967928736,0.0979958263049404,0.7901950866267188,0.3863860050809285
0.95,0.95,1.05,0.22725532119284375,4.5,6.0,0.7342145712075578,0.09851078073042946,0.790216606185511,0.36866182594753905
0.95,1.0,0.95,0.22493196750045474,4.5,6.0,0.7343296967928736,0.0979958263049404,0.7901950866267188,0.40671728027017695
0.95,1.0,1.0,0.22493196750045474,4.5,6.0,0.7343296967928736,0.0979958263049404,0.7901950866267188,0.38638460464010554
0.95,1.0,1.05,0.22725532119284375,4.5,6.0,0.7342145712075578,0.09851078073042946,0.790216606185511,0.36866039266089917
0.95,1.05,0.95,0.22493196750045474,4.5,6.0,0.7343296967928736,0.0979958263049404,0.7901950866267188,0.40671601320467043
0.95,1.05,1.0,0.22493196750045474,4.5,6.0,0.7343296967928736,0.0979958263049404,0.7901950866267188,0.386383337574599
0.95,1.05,1.05,0.22725532119284375,4.5,6.0,0.7342145712075578,0.09851078073042946,0.790216606185511,0.36865909587774887
1.0,0.95,0.95,0.22493196750045474,4.5,6.0,0.7343296967928736,0.0979958263049404,0.7901950866267188,0.40671682274634435
1.0,0.95,1.0,0.22493196750045474,4.5,6.0,0.7343296967928736,0.0979958263049404,0.7901950866267188,0.38638414711627295
1.0,0.95,1.05,0.22493196750045474,4.5,6.0,0.7343296967928736,0.0979958263049404,0.7901950866267188,0.3679879167843036
1.0,1.0,0.95,0.22493196750045474,4.5,6.0,0.7343296967928736,0.0979958263049404,0.7901950866267188,0.4067154223055214
1.0,1.0,1.0,0.22493196750045474,4.5,6.0,0.7343296967928736,0.0979958263049404,0.7901950866267188,0.3863827466754499
1.0,1.0,1.05,0.22493196750045474,4.5,6.0,0.7343296967928736,0.0979958263049404,0.7901950866267188,0.36798651634348056
1.0,1.05,0.95,0.22493196750045474,4.5,6.0,0.7343296967928736,0.0979958263049404,0.7901950866267188,0.4067141552400148
1.0,1.05,1.0,0.22493196750045474,4.5,6.0,0.7343296967928736,0.0979958263049404,0.7901950866267188,0.3863814796099434
1.0,1.05,1.05,0.22493196750045474,4.5,6.0,0.7343296967928736,0.0979958263049404,0.7901950866267188,0.36798524927797405
1.05,0.95,0.95,0.22493196750045474,4.5,6.0,0.7343296967928736,0.0979958263049404,0.7901950866267188,0.4067151417307036
1.05,0.95,1.0,0.22493196750045474,4.5,6.0,0.7343296967928736,0.0979958263049404,0.7901950866267188,0.38638246610063215
1.05,0.95,1.05,0.22493120924599883,4.5,6.0,0.7343297373535506,0.09799566116462946,0.7901950866323693,0.3679862357676268
1.05,1.0,0.95,0.22493196750045474,4.5,6.0,0.7343296967928736,0.0979958263049404,0.7901950866267188,0.4067137412898806
1.05,1.0,1.0,0.22493196750045474,4.5,6.0,0.7343296967928736,0.0979958263049404,0.7901950866267188,0.3863810656598092
1.05,1.0,1.05,0.22493196750045474,4.5,6.0,0.7343296967928736,0.0979958263049404,0.7901950866267188,0.36798483532783977
1.05,1.05,0.95,0.2174312919273513,3.4320713627371493,4.0,0.7369231151166882,0.11052555562271633,0.7731951630630337,0.39811212400088436
1.05,1.05,1.0,0.22493196750045474,4.5,6.0,0.7343296967928736,0.0979958263049404,0.7901950866267188,0.38637979859430266
1.05,1.05,1.05,0.22493196750045474,4.5,6.0,0.7343296967928736,0.0979958263049404,0.7901950866267188,0.36798356826233325
