方案,a,b,N,R,P,U,C_AT,C2
最小热阻锚点,0.232,3.0675,10.0,0.720227030892114,0.15852451715294016,0.8194244009976133,0.9998287772256431,0.8161930817342923
最小压降锚点,0.2285,4.5,2.0,0.7601764223669337,0.07603981275680793,0.7791499696638337,1.0001154511961843,0.5842014339684223
最小非均匀性锚点,0.225,4.5,4.0,0.7411038793680618,0.08523759719246662,0.7717866315586425,0.5226457949846385,0.3085003234370341
连续综合最优,0.225,4.5,6.0,0.7343260654572783,0.0980106508014415,0.790195104601327,0.3863831327674524,0.3389516446826526
最近理想点,0.224,4.5,4.0,0.7411136702637096,0.085126154528847,0.7717903752863283,0.5228907747646951,0.3084770665835397
最佳原始样本,0.2,4.5,6.0,0.736613,0.093468,0.792252,0.4295494705838702,0.3639004523674558
