criterion,a,b,N,R,P,U,criterion_value
augmented_tchebycheff,0.22493196750045474,4.5,6.0,0.7343296967928736,0.0979958263049404,0.7901950866267188,0.3863827466754499
euclidean_to_ideal,0.224960630277433,4.5,4.0,0.7411042062713527,0.08523315803050747,0.7717866245883456,0.30849846607618425
mean_normalized_loss,0.2199055898300854,4.499999999947096,4.0,0.7411854091222936,0.08469771400851561,0.7718889925201782,0.2105652656739593
