a,b,N,R,P,U
0.22305029812053964,4.5,2.0,0.7599348475699632,0.07607520101266613,0.7790228758329141
0.2085345033639461,4.5,2.0,0.7596784385133786,0.07646189063867778,0.779839814142335
0.1,4.5,4.0,0.7544370512906237,0.0803730898653527,0.8016311570728486
0.24137615830780312,3.0,4.0,0.7305861480278971,0.133492461491962,0.7871511399271264
0.22496983036861196,4.5,4.0,0.741104129447701,0.08523419501245827,0.7717866250796219
0.22753719339418754,4.5,4.0,0.7410930764676648,0.08553276064784157,0.7718141667935181
0.21420402018973905,3.6651414219858527,4.0,0.7410361984114273,0.10251773785356223,0.7728336306413481
0.12492959686000119,4.5,4.0,0.7513463271304164,0.08143076976532773,0.7952748795485901
0.12004057680558089,4.5,4.0,0.7519986448183648,0.0812911371892579,0.7966854707331584
0.23409891233470212,3.099028211379046,4.0,0.7315412221318616,0.12705944401239214,0.7817760833341985
0.1846888323284197,4.5,4.0,0.7435605316618681,0.08251191949392624,0.7772888509128091
0.24137615830780312,3.06738069971345,4.0,0.7311712202277069,0.12982728002467728,0.7830397431463704
0.17585696104931753,4.5,4.0,0.7445352288216915,0.08226786351114126,0.779594440090458
0.22987448864518115,3.19478172366276,4.0,0.7327898030578232,0.12180411699018985,0.7778086787638482
0.21726841796777177,3.622795652060637,4.0,0.740210481233049,0.10406993470816185,0.7724329809685334
0.20551668073669585,4.5,4.0,0.7418092675096747,0.083514743177584,0.7732068706222441
0.2288565144250265,3.294650245616893,4.0,0.7342826099019701,0.11723016530691152,0.7747402237127067
0.14813355575874698,4.5,4.0,0.7481356903350358,0.08183880503320011,0.7880375623571721
0.15630757993836647,4.5,4.0,0.7470166836561258,0.0819405470423426,0.7854373855685141
0.2281475503180433,3.31076931049386,4.0,0.7345537098932802,0.11646375330728526,0.7743974892779525
0.2103346562085844,3.4665263660163452,4.0,0.7378758468725548,0.10866206667683784,0.7736846338794817
0.12809446020916748,4.5,4.0,0.7509164361938734,0.08150800468237951,0.7943315984651845
0.2371658929304533,3.0491370927347035,4.0,0.7310077445551308,0.1301247600820873,0.7843214645672322
0.21440012139319578,3.6651027696784064,4.0,0.7410269522462274,0.1025359238043328,0.7728164489402964
0.1376589501585249,4.5,4.0,0.7495940464668703,0.081692004193901,0.7913744503059968
0.16387679384445736,4.5,4.0,0.7460145432228099,0.0820442930286171,0.783087242472081
0.2177492252067898,3.5790981943323668,4.0,0.739449535157819,0.10548694215747792,0.7723353408773769
0.2296230035270846,3.1158270026281034,4.0,0.7318208743051926,0.1256008338763509,0.7813376266970941
0.23410222169911446,3.160210219539989,4.0,0.732262423411584,0.12401954584836417,0.7788933465054336
0.22967276778767318,3.1305049844900683,4.0,0.7319857834173934,0.12487333788165873,0.7806059518097974
0.21679794121749754,3.3980532076724415,4.0,0.7363764465206534,0.1117471682734657,0.7737396977262457
0.2163296921515386,3.4175127633117546,4.0,0.7367258579503987,0.11096590102005092,0.7735062503309865
0.10748050250089825,4.5,4.0,0.7535812277141561,0.08079103552835941,0.7999710799569809
0.10246009731303568,4.5,4.0,0.7541640765410097,0.08052179173960339,0.8011134582946082
0.1414944254061179,4.5,4.0,0.7490591761810053,0.08175025959477131,0.7901585472749743
0.21355772846628204,4.5,4.0,0.7413925572428027,0.08411723367615448,0.7722932984261638
0.2288565144250265,3.2636137967857453,4.0,0.7338020652313314,0.11856530439662913,0.7755767948853682
0.2369308641621236,3.0179918324899777,4.0,0.7307484704093127,0.13178329907431696,0.7862869879409877
0.16334694827994878,4.5,4.0,0.7460832784174015,0.08203637736288627,0.7832489557835758
0.21445187363203025,3.4482336962423643,4.0,0.7373391440607698,0.10966123041018803,0.7733443539007105
0.1308559065486981,4.5,4.0,0.7505375373704667,0.08156805628459002,0.7934922956994611
0.194290027388449,4.5,4.0,0.7426455363384219,0.08288721179039688,0.7751359189578548
0.17824813942557263,4.5,4.0,0.7442602683384345,0.08232591606529992,0.7789437763551333
0.2222823183304234,3.3267992408039273,4.0,0.7349790070605825,0.11512191397320565,0.7745102984885579
0.1335381602396235,4.5,4.0,0.7501668814164596,0.08162062486437477,0.7926647545942038
0.14433572875681702,4.5,4.0,0.7486631491115736,0.08178961047821946,0.7892521096833295
0.228685840159958,3.1471372732862175,4.0,0.7322092236971525,0.12392856348407756,0.7799251025368734
0.1133318748886791,4.5,4.0,0.7528634452427325,0.08105219064592398,0.7985089613035361
0.110419642555487,4.5,4.0,0.7532254428997643,0.08092887178345132,0.799253046864476
0.19117424195301239,4.499999999999999,4.0,0.7429240601280354,0.0827509278142203,0.775788813690532
0.214576494049375,3.437779083016078,4.0,0.7371548646777732,0.11005510611660173,0.7734510372022805
0.1342508212966357,4.5,4.0,0.7500680568203009,0.08163373071201935,0.7924431023653835
0.23965427398100955,4.5,6.0,0.7339261971828457,0.10157833070900103,0.7911065346407476
0.21912577327277818,4.5,6.0,0.7346957538802515,0.09678545591450638,0.7903247782933056
0.18229922641103952,4.5,6.0,0.7391903034888421,0.09121236672784426,0.796015088104939
0.23438949480229426,4.5,6.0,0.7339793835847059,0.10020785795481627,0.7905629607503953
0.17494334095916902,4.5,6.0,0.7404380959411869,0.09043301248949447,0.797875104292895
0.21151901736179002,4.5,6.0,0.7353348330171402,0.09535511375986894,0.7908631799549852
0.23736355307704388,3.0875849620303035,6.0,0.7297912755946476,0.14284007172146596,0.7957311240621548
0.22870222407550833,3.147238244119537,6.0,0.7301248335278429,0.13763160860676432,0.793387540427419
0.2044517346256193,4.5,6.0,0.7360776736492416,0.09417085052739199,0.7917007862298995
0.23438975440990045,3.167687631534975,6.0,0.7301084918468201,0.13802704387561032,0.7921131659190419
0.1912287401603494,4.5,6.0,0.7378072879873281,0.09228243395320751,0.7940098763706444
0.18753508433355667,4.5,6.0,0.7383603548017902,0.0918217921765347,0.7948014551024104
0.23811649561830536,3.0865098223842593,6.0,0.7297874578924304,0.14309885416428433,0.7957537214535978
0.2040373673727001,4.5,6.0,0.7361253972411222,0.09410544615834276,0.7917591640119342
0.19060771326712334,4.5,6.0,0.7378983038028797,0.09220310817074029,0.7941389533948475
0.23645632991029697,3.3341183379052906,8.0,0.7288264112822351,0.1432655025988346,0.8064287338182096
0.2218905986117792,3.413601300756717,8.0,0.7299495895293487,0.13529913598175514,0.8053121540172631
0.2279382776166906,3.336019992887986,8.0,0.7289687452907119,0.14026552040151274,0.8063068752841959
0.21673563729963094,3.532929419679011,10.0,0.7256726820164648,0.1329349174959068,0.8064625928324994
0.1891383351223537,3.512057228838395,10.0,0.728420096499858,0.12535831314970733,0.8082025856593432
0.180688348105404,3.6298975846323156,10.0,0.7322221863782724,0.11958624123557607,0.8090836711494602
0.18905140189387865,3.623859641078334,10.0,0.7307083576517293,0.1217664123604614,0.8081780832306802
0.17776655919295423,3.646807954645708,10.0,0.7331136715846263,0.11843290740402902,0.8095039577462269
0.22372252115829633,3.2823063397841814,10.0,0.7215914245880527,0.14496685090302736,0.8098317419128378
0.21984958963971454,3.150191384294243,10.0,0.7207078087971474,0.14954345928607005,0.8151905963762474
0.21694455878774677,3.507105081293628,10.0,0.7252001639256193,0.1338761977288953,0.8065016981681522
0.18759033539822112,3.552289825696953,10.0,0.7294524200724931,0.12364032773915473,0.8082166028070914
0.201098377808672,3.549011447947469,10.0,0.7275179155149222,0.1273805107685605,0.8070290931378635
0.20300177803617384,3.3478312097921226,10.0,0.7238920649118237,0.13521271408128815,0.809191082126567
0.18127793220527633,3.523854834312477,10.0,0.7298840359884614,0.12307455145003009,0.8090280351293457
0.2071420148867759,3.241104093124341,10.0,0.7222166773145885,0.14098543898840762,0.8121163402956924
0.2008318107132663,3.5618268851389407,10.0,0.7277984360601176,0.12688822011715,0.8070447668541113
0.23476868899089268,3.1310023169631567,10.0,0.7203453798807101,0.15646284208797595,0.8158452700676717
0.22331627291720296,3.40218721649945,10.0,0.7231337317428003,0.13998488038743256,0.8073456309465608
0.23465348584683068,3.165705996903049,10.0,0.7204908444637018,0.15471909212972917,0.8141971032453372
0.21383870192951795,3.542188491611452,10.0,0.7260710220056281,0.13162586239639604,0.8064862120274832
0.23205104371111332,3.176473995651239,10.0,0.7205460442598802,0.15308990000037498,0.8136657151938644
0.22303855745950102,4.5,2.0,0.7599344184724139,0.0760753477713412,0.7790228739408064
0.2286304542069804,4.5,2.0,0.7601832671490939,0.07603979170645053,0.7791561702390412
0.20851552692518227,4.5,2.0,0.7596784378249662,0.07646263996887795,0.7798418853485982
0.2249833657753134,4.5,4.0,0.741104016901111,0.0852357210689896,0.7717866270635372
0.24129118929659726,3.0,4.0,0.7305861459922208,0.13347829353001894,0.7871562363893201
0.227595954792372,4.5,4.0,0.7410930682550355,0.08553981103275471,0.7718154435762953
0.23096374705107314,3.1136341183827025,4.0,0.7317623559108408,0.1258863406600809,0.7813097438500962
0.2226936228962512,3.18637821429946,4.0,0.7329096622703285,0.12134599276866921,0.7789211434979527
0.17557884138072463,4.5,4.0,0.7445677016172321,0.0822614558536158,0.7796712753892605
0.14443278429357934,4.5,4.0,0.7486496362032222,0.08179090955463225,0.7892210949361292
0.13443371052115263,4.5,4.0,0.7500426759640934,0.081637039404055,0.7923861098930948
0.2168658528044824,3.5138898263744855,4.0,0.7383583472032207,0.10756171294920286,0.7725641593252971
0.12822202592307935,4.5,4.0,0.7508990041948477,0.08151092252256409,0.794293141126383
0.1405319838243288,4.5,4.0,0.7491934270446086,0.08173626182754057,0.7904646707623704
0.1070446573158701,4.5,4.0,0.7536331128066832,0.08076939367110963,0.8000745789726632
0.1557499790840862,4.5,4.0,0.7470920157387804,0.08193348285866933,0.7856133092432798
0.12287607687080437,4.5,4.0,0.7516222451151717,0.08137531557173264,0.7958747842377115
0.14894144315215108,4.5,4.0,0.7480239365383164,0.08184894097875606,0.7877792477748256
0.2373631272747896,3.0341342314186193,4.0,0.7308744644203841,0.1309649003205792,0.78522093186979
0.12481914675986407,4.499999999999999,4.0,0.7513612323126643,0.08142789847133772,0.7953074013515049
0.19412582195402217,4.5,4.0,0.7426597451922605,0.08287965321348198,0.775169149302759
0.21449843451165865,3.5415853945110407,4.0,0.7389425453157433,0.1064145810856186,0.7726872928595904
0.23027891560149977,3.097651072672245,4.0,0.7316073311685138,0.12660882067414753,0.7822134891539245
0.1829185377142079,4.5,4.0,0.7437465622031689,0.08245612124616059,0.7777285100592787
0.18515887189049604,4.5,4.0,0.7435119848218599,0.08252737549598133,0.7771741800506875
0.2300762792141788,3.0711642660602125,4.0,0.7313486274529106,0.12795635352737597,0.7837147635261787
0.11126736146458494,4.5,4.0,0.7531210012681767,0.08096608846709205,0.7990396865781574
0.11555587236637412,4.5,4.0,0.7525812150641019,0.08113805767791482,0.7979204654591845
0.11959108029695321,4.5,4.0,0.752057776364764,0.08127693323161334,0.7968119653309491
0.16965675469460828,4.5,4.0,0.7452815494548767,0.08214007926983988,0.7813590158987764
0.10372666050935596,4.5,4.0,0.7540201886010094,0.08059393840618304,0.8008358196030395
0.118818405336091,4.5,4.0,0.7521590552381814,0.08125194319341217,0.7970280484930727
0.14915964676215018,4.5,4.0,0.7479937864312486,0.0818516655809349,0.787709500973553
0.13789063900361842,4.5,4.0,0.7495617607821397,0.08169572433861005,0.7913013465817844
0.21095510497928455,3.5634752934226768,4.0,0.7394975058798159,0.1054000240478303,0.7730268015660955
0.2417515458560937,3.2747346454389685,4.0,0.7339483675138474,0.11997444678250961,0.7750001843299125
0.15932358234314492,4.5,4.0,0.7466125047381196,0.08197982519344921,0.7844916246838308
0.1349511738873203,4.5,4.0,0.7499708235371975,0.08164628325162335,0.792224621649495
0.23119253182509045,3.054900788346861,4.0,0.7311682441474534,0.12896387754497313,0.7845489466306426
0.22023306400895878,3.2795100814730036,4.0,0.7343238544139273,0.1168952297749957,0.7759584677620959
0.2234039290496725,3.384055347888066,4.0,0.7358850860758979,0.11295791901298048,0.7733128467166857
0.127706834702664,4.5,4.0,0.7509693594018674,0.08149904906451533,0.7944482583313902
0.24038558999042528,3.0136161956267506,4.0,0.7306895716267816,0.13256952385644694,0.7863123709089628
0.22263138065607477,3.340780166963678,4.0,0.7351925770561107,0.11458938915326417,0.7741725636503727
0.21160653794015333,3.5415853945110407,4.0,0.7390882908244985,0.10617210611049281,0.773010608114998
0.2257028551423818,3.3616404971381333,4.0,0.7354443394907109,0.11409918081271819,0.773520229041618
0.20642845841459845,3.6210365049026625,4.0,0.7407304688943283,0.10324340826349267,0.7735804496626353
0.23027891560149977,3.209641231998542,4.0,0.7329854798996559,0.12116792252101888,0.7772241986921407
0.2159087939736643,3.402562574044751,4.0,0.7364943354377909,0.11149326475422491,0.7737749813394962
0.23829273334012557,3.0429996172626184,6.0,0.7297375172247704,0.14547135499228545,0.7982233981342082
0.2396289999685813,4.5,6.0,0.7339261982561308,0.10157150183299732,0.7911033123102005
0.22648660826226572,3.163523208248649,6.0,0.7302702172780173,0.13632043802680655,0.792869931726413
0.18551803548368923,4.5,6.0,0.7386739273215626,0.09158120348308263,0.7952569277326885
0.23814865140025995,3.0659936010705797,6.0,0.7297534766861028,0.1441919778827981,0.7968792753713906
0.23526970819627785,3.0831634311997864,6.0,0.7297966283149593,0.14252011676454646,0.7960883542397494
0.20109664960045395,4.5,6.0,0.7364767245947155,0.09365346426174637,0.792201159566453
0.23768406219955765,4.5,6.0,0.733933715673166,0.10105329980615463,0.7908732960905794
0.18322305052497131,4.5,6.0,0.7390401456004971,0.0913163840842229,0.7957937102441327
0.1719952270765329,4.5,6.0,0.740962117100473,0.09014290439928248,0.7986631355227967
0.22545594091495894,4.5,6.0,0.7343021314703412,0.09811039519937675,0.790196170688339
0.1748769944968108,4.5,6.0,0.7404497470030234,0.09042635256748398,0.7978925956131075
0.23200489055874512,3.1314652738439017,6.0,0.7299816667325034,0.1392135707082674,0.7938518469578513
0.2201890692186857,4.5,6.0,0.7346205649446244,0.09699915902355981,0.7902820488999748
0.23693926077904354,3.134596643755661,6.0,0.7299379045316554,0.14032197333311686,0.7934336761357111
0.21522781425915682,3.388123643940606,8.0,0.7300869458093744,0.13435757360236897,0.80604836371535
0.21147749752894535,3.3974493968076565,8.0,0.7304631016331582,0.1329822047793658,0.8062402180367908
0.23166603463814683,3.0721801510708198,10.0,0.7202278809197346,0.15813742494019534,0.8191374966266988
0.21711835003436006,3.5316885885881737,10.0,0.7256220994234531,0.13311126166850273,0.8064627152892652
0.18237331151667568,3.4215635837670417,10.0,0.7277603872089111,0.12692464242596216,0.8100072992636324
0.20744412077195365,3.251101846950753,10.0,0.7222902769010716,0.14063844654030802,0.811710090291922
0.2223676144838765,3.1881002789108077,10.0,0.7208234317789547,0.14867018224399672,0.8132722904868567
0.20314115167751778,3.4702006637909233,10.0,0.7258272955528762,0.13065677745240584,0.8072459405659268
0.20789090748045705,3.358376171531815,10.0,0.7235651368652699,0.13630164013009197,0.8085654353569909
0.19830862966800356,3.6413255673727356,10.0,0.7297183607511872,0.12371071066844992,0.8075057926925272
0.2054385535536989,3.2986339273848135,10.0,0.7230035591899469,0.1379682797927949,0.8102958019966819
0.2042727805435469,3.554977718748845,10.0,0.727259211166759,0.1281317236250548,0.8068317097188058
0.20215775966524854,3.427421258508724,10.0,0.7252059430424646,0.13190666288967504,0.8077903655248975
0.21030298997967964,3.4472856972807717,10.0,0.7247188789909844,0.13371671504401686,0.8070451865681353
0.22969964972275667,3.1047059065013456,10.0,0.7202781118881123,0.1556378925982327,0.8172441182001527
0.1828260314282923,3.5274236090147117,10.0,0.7297031279045555,0.12331306044482336,0.8088276143276129
0.18385752374212797,3.6699155725563015,10.0,0.7325498542995855,0.11914420442435263,0.8089895672160748
0.17841120127502055,3.588530909568985,10.0,0.7317230693941084,0.12034224531096847,0.8092313606930205
0.22225105759886613,3.128300206012985,10.0,0.7205171776714777,0.15151409113908265,0.8162060009190626
0.1828276785127348,3.5687872906310387,10.0,0.7305526311246069,0.1219667837505699,0.8087181007146738
0.18503284535299824,3.7048353897496193,10.0,0.733114192498229,0.11843552978384542,0.8091854283559896
0.22302740833806997,4.5,2.0,0.7599340113494193,0.07607548740767717,0.7790228732018154
0.2286053795006531,4.5,2.0,0.7601819475630972,0.07603979266220146,0.7791549667009351
0.2113765667263288,4.5,2.0,0.7596878204839576,0.07635625864730747,0.7795575286441988
0.24132638436397053,3.0,4.0,0.7305861440737809,0.1334841589803253,0.7871541184497203
0.22531580923713374,4.5,4.0,0.7411014316643632,0.08527336074011554,0.7717871478664611
0.21400263074578738,3.667543351415773,4.0,0.7410840844560724,0.10242954202989342,0.772862206603771
0.2287940111143189,3.3010327354752085,4.0,0.7343849804386483,0.11695269090735531,0.7745872534279495
0.12714328912034312,4.5,4.0,0.751046173587089,0.08148578552614522,0.7946173218142063
0.12234085506835021,4.5,4.0,0.7516937203799086,0.08136012181896674,0.7960294316720617
0.1360568343772461,4.5,4.0,0.7498171172506367,0.08166547193528456,0.791878464771542
0.10463575052096273,4.499999999999999,4.0,0.753915564407,0.08064393133366485,0.8006320482320147
0.2245514349989991,3.5759072502767717,4.0,0.7391957286335884,0.10630022579855913,0.7719507727324819
0.1161193127835564,4.5,4.0,0.7525089732452578,0.08115872541279862,0.7977687440043831
0.21924688215730403,3.369535317953038,4.0,0.7357935455036426,0.11308980488340176,0.7739503620127725
0.12006720109349739,4.5,4.0,0.7519951375474213,0.08129197090644219,0.796677960329438
0.14442349933423282,4.5,4.0,0.7486509288780434,0.08179078539054313,0.7892240621137161
0.11355904627216651,4.5,4.0,0.7528348375543007,0.08106128260636047,0.798449628595228
0.13070857304106084,4.5,4.0,0.7505578289255642,0.08156501108311895,0.7935374193610705
0.1691680608102494,4.5,4.0,0.7453422387067671,0.0821312173430643,0.7815023306219865
0.14774666945901513,4.5,4.0,0.7481892731848433,0.0818339200749053,0.7881612992846623
0.22890170514297423,3.0753013867712196,4.0,0.7314234922841031,0.12758915339780288,0.7836185424693126
0.2406282877479036,3.05872922400116,4.0,0.7310836737702013,0.13016119538433207,0.78355414206373
0.16317518070478407,4.5,4.0,0.7461056120760883,0.08203383752175017,0.783301485539729
0.22452540131619858,3.3813869022328022,4.0,0.735807313562467,0.11318736443442166,0.7732706538679217
0.20283119843317454,4.5,4.0,0.7419838350225968,0.0833435190587373,0.7736033142849728
0.18300783689086544,4.5,4.0,0.7437370594804158,0.08245884656733138,0.7777060435394271
0.21678889334885038,4.5,4.0,0.7412729876725488,0.08440043645598055,0.7720505746124458
0.22741748138992257,3.4733532293967166,4.0,0.7373384674728635,0.11010644315830563,0.7721139359270803
0.21056276451311615,3.500185450125577,4.0,0.7384370253284814,0.10749451013064042,0.7733629850281233
0.18204385018879968,4.5,4.0,0.7438402950005002,0.08242991440120168,0.7779501530166492
0.23171800973517412,3.2888987547721076,4.0,0.734145996782383,0.1178484123666378,0.7747302261848017
0.15776867073517045,4.5,4.0,0.7468201603195554,0.08195932121291341,0.7849779143978205
0.15643138652306451,4.5,4.0,0.7469999815484163,0.08194212237284429,0.7853983655170808
0.21130479216949105,3.5710508755439236,4.0,0.7396075765966601,0.1051820920227696,0.772971841219736
0.2140138293583716,3.5914590972433325,4.0,0.7398186371260966,0.10475393459539802,0.7726676101448486
0.10778482413911078,4.5,4.0,0.7535448622957461,0.08080595880169186,0.7998983470705184
0.23918332276131332,3.043563582355142,4.0,0.7309440310599904,0.13073887072344112,0.7845167779049383
0.210761234479132,3.472254670468633,4.0,0.7379484577796835,0.10849078158453569,0.7735692337890921
0.10993337882731305,4.5,4.0,0.7532849931772673,0.08090702075092361,0.7993741958473706
0.22745404181616968,3.094320387823828,4.0,0.7316592397683525,0.1264233840530154,0.782730843320258
0.14068628795552654,4.5,4.0,0.7491719024426858,0.08173853164298045,0.7904156304703371
0.22586581345186016,3.225090783066854,4.0,0.7333169329214008,0.11991532964525316,0.7770673076043602
0.22870578742044864,3.1272793335588522,4.0,0.7319755680821483,0.12491078907841295,0.7808664304259988
0.13058555399805655,4.5,4.0,0.7505747657190451,0.081562455239232,0.7935750680286509
0.227436732837617,3.1063212334606742,4.0,0.7317846664654637,0.12580803946867522,0.7820855687070708
0.1990830923766229,4.499999999999999,4.0,0.7422549667458227,0.0831274642206093,0.7742269798718447
0.13774958765048792,4.5,4.0,0.7495814168566675,0.08169346290670759,0.7913458579934121
0.21398853180547145,3.621435257535892,4.0,0.7403250407924125,0.10381598835755451,0.7727068682867083
0.1916146103404899,4.499999999999999,4.0,0.742883571527014,0.082769293336148,0.7756937253477066
0.1741599242390281,4.5,4.0,0.7447349072568779,0.08222982084323935,0.7800668531773363
0.15321423107528304,4.5,4.0,0.7474366921298191,0.08190183566786674,0.7864167167525469
0.22151427217843772,3.472254670468633,4.0,0.737461543796715,0.10947480097918394,0.7724345054316111
0.23300048808744964,3.187728510346334,6.0,0.7302368580427683,0.13671267019103353,0.7913885113173441
0.1785353975232767,4.5,6.0,0.7398175767516055,0.090803136706679,0.7969463208351694
0.23410759923758018,3.127798973504207,6.0,0.7299344440777285,0.13992580322616363,0.7938860924118185
0.23302667035727012,3.230670478310188,6.0,0.7305182151520794,0.1347184565689444,0.7898882178899114
0.23621607865312735,3.1093493787228916,6.0,0.7298526413452453,0.14140903067042337,0.7946668687327177
0.22951653000699476,4.5,6.0,0.7341203942536721,0.09902944319830435,0.7902797292194863
0.23916906400506466,3.08449587652993,6.0,0.7297842300836853,0.14349123515214365,0.7958189669180399
0.19958124587661621,4.5,6.0,0.7366662179342044,0.09342868434731284,0.7924473075314986
