seed,a,b,N,R,P,U
202601,0.22305029812053964,4.5,2.0,0.7599348475699632,0.07607520101266613,0.7790228758329141
202601,0.22864783647351206,4.5,2.0,0.7601841830138629,0.07603979190770968,0.7791570078301275
202601,0.2085345033639461,4.5,2.0,0.7596784385133786,0.07646189063867778,0.779839814142335
202601,0.1,4.5,4.0,0.7544370512906237,0.0803730898653527,0.8016311570728486
202601,0.24137615830780312,3.0,4.0,0.7305861480278971,0.133492461491962,0.7871511399271264
202601,0.22496983036861196,4.5,4.0,0.741104129447701,0.08523419501245827,0.7717866250796219
202601,0.24835437663291354,3.0,4.0,0.7306661432175555,0.13474457595916361,0.7869336495622035
202601,0.22753719339418754,4.5,4.0,0.7410930764676648,0.08553276064784157,0.7718141667935181
202601,0.21420402018973905,3.6651414219858527,4.0,0.7410361984114273,0.10251773785356223,0.7728336306413481
202601,0.12492959686000119,4.5,4.0,0.7513463271304164,0.08143076976532773,0.7952748795485901
202601,0.12004057680558089,4.5,4.0,0.7519986448183648,0.0812911371892579,0.7966854707331584
202601,0.23409891233470212,3.099028211379046,4.0,0.7315412221318616,0.12705944401239214,0.7817760833341985
202601,0.1846888323284197,4.5,4.0,0.7435605316618681,0.08251191949392624,0.7772888509128091
202601,0.20687852953791466,3.480360398760288,4.0,0.7383264896256649,0.10791613466529247,0.7740572197029386
202601,0.24137615830780312,3.06738069971345,4.0,0.7311712202277069,0.12982728002467728,0.7830397431463704
202601,0.2071580592962375,3.5184623067700365,4.0,0.7389557634082057,0.10661479150871557,0.7737176666883858
202601,0.17585696104931753,4.5,4.0,0.7445352288216915,0.08226786351114126,0.779594440090458
202601,0.22987448864518115,3.19478172366276,4.0,0.7327898030578232,0.12180411699018985,0.7778086787638482
202601,0.21726841796777177,3.622795652060637,4.0,0.740210481233049,0.10406993470816185,0.7724329809685334
202601,0.21958559223359847,3.150036462343011,4.0,0.732607726290927,0.12276374540272891,0.7810070526202827
202601,0.20551668073669585,4.5,4.0,0.7418092675096747,0.083514743177584,0.7732068706222441
202601,0.2288565144250265,3.294650245616893,4.0,0.7342826099019701,0.11723016530691152,0.7747402237127067
202601,0.14813355575874698,4.5,4.0,0.7481356903350358,0.08183880503320011,0.7880375623571721
202601,0.15630757993836647,4.5,4.0,0.7470166836561258,0.0819405470423426,0.7854373855685141
202601,0.2281475503180433,3.31076931049386,4.0,0.7345537098932802,0.11646375330728526,0.7743974892779525
202601,0.2103346562085844,3.4665263660163452,4.0,0.7378758468725548,0.10866206667683784,0.7736846338794817
202601,0.12809446020916748,4.5,4.0,0.7509164361938734,0.08150800468237951,0.7943315984651845
202601,0.2371658929304533,3.0491370927347035,4.0,0.7310077445551308,0.1301247600820873,0.7843214645672322
202601,0.21440012139319578,3.6651027696784064,4.0,0.7410269522462274,0.1025359238043328,0.7728164489402964
202601,0.1376589501585249,4.5,4.0,0.7495940464668703,0.081692004193901,0.7913744503059968
202601,0.16387679384445736,4.5,4.0,0.7460145432228099,0.0820442930286171,0.783087242472081
202601,0.2177492252067898,3.5790981943323668,4.0,0.739449535157819,0.10548694215747792,0.7723353408773769
202601,0.21196716369408344,3.304602325279485,4.0,0.7351391583854219,0.11507602731838666,0.7764363983851584
202601,0.2296230035270846,3.1158270026281034,4.0,0.7318208743051926,0.1256008338763509,0.7813376266970941
202601,0.23410222169911446,3.160210219539989,4.0,0.732262423411584,0.12401954584836417,0.7788933465054336
202601,0.22967276778767318,3.1305049844900683,4.0,0.7319857834173934,0.12487333788165873,0.7806059518097974
202601,0.21679794121749754,3.3980532076724415,4.0,0.7363764465206534,0.1117471682734657,0.7737396977262457
202601,0.22760872235132945,3.0650828950617752,4.0,0.7313718167317151,0.12796572789433833,0.7843900844163677
202601,0.2163296921515386,3.4175127633117546,4.0,0.7367258579503987,0.11096590102005092,0.7735062503309865
202601,0.10748050250089825,4.5,4.0,0.7535812277141561,0.08079103552835941,0.7999710799569809
202601,0.10246009731303568,4.5,4.0,0.7541640765410097,0.08052179173960339,0.8011134582946082
202601,0.1414944254061179,4.5,4.0,0.7490591761810053,0.08175025959477131,0.7901585472749743
202601,0.21355772846628204,4.5,4.0,0.7413925572428027,0.08411723367615448,0.7722932984261638
202601,0.2288565144250265,3.2636137967857453,4.0,0.7338020652313314,0.11856530439662913,0.7755767948853682
202601,0.2369308641621236,3.0179918324899777,4.0,0.7307484704093127,0.13178329907431696,0.7862869879409877
202601,0.16334694827994878,4.5,4.0,0.7460832784174015,0.08203637736288627,0.7832489557835758
202601,0.21445187363203025,3.4482336962423643,4.0,0.7373391440607698,0.10966123041018803,0.7733443539007105
202601,0.1308559065486981,4.5,4.0,0.7505375373704667,0.08156805628459002,0.7934922956994611
202601,0.194290027388449,4.5,4.0,0.7426455363384219,0.08288721179039688,0.7751359189578548
202601,0.17824813942557263,4.5,4.0,0.7442602683384345,0.08232591606529992,0.7789437763551333
202601,0.21694670003827135,3.1765076252033353,4.0,0.7330674848517952,0.12123527692620113,0.7802154251315352
202601,0.2222823183304234,3.3267992408039273,4.0,0.7349790070605825,0.11512191397320565,0.7745102984885579
202601,0.1335381602396235,4.5,4.0,0.7501668814164596,0.08162062486437477,0.7926647545942038
202601,0.14433572875681702,4.5,4.0,0.7486631491115736,0.08178961047821946,0.7892521096833295
202601,0.228685840159958,3.1471372732862175,4.0,0.7322092236971525,0.12392856348407756,0.7799251025368734
202601,0.1133318748886791,4.5,4.0,0.7528634452427325,0.08105219064592398,0.7985089613035361
202601,0.110419642555487,4.5,4.0,0.7532254428997643,0.08092887178345132,0.799253046864476
202601,0.19117424195301239,4.499999999999999,4.0,0.7429240601280354,0.0827509278142203,0.775788813690532
202601,0.214576494049375,3.437779083016078,4.0,0.7371548646777732,0.11005510611660173,0.7734510372022805
202601,0.2095059599921351,3.3555441056268176,4.0,0.7360887597722866,0.11279767127955374,0.7755742876406206
202601,0.11761499894596,4.496666229927658,4.0,0.7523905277224783,0.08127404349179175,0.7974074802773595
202601,0.1342508212966357,4.5,4.0,0.7500680568203009,0.08163373071201935,0.7924431023653835
202601,0.23809177443457571,3.039094955008738,6.0,0.7297376735778582,0.14563021218893893,0.7984740560151474
202601,0.24318114983884145,3.06273327910551,6.0,0.7297851970611194,0.14577849664141296,0.7969058343456579
202601,0.23965427398100955,4.5,6.0,0.7339261971828457,0.10157833070900103,0.7911065346407476
202601,0.21443353667506018,3.9242074147173094,6.0,0.7386642206028253,0.10758566733930655,0.7900203619627426
202601,0.21912577327277818,4.5,6.0,0.7346957538802515,0.09678545591450638,0.7903247782933056
202601,0.18229922641103952,4.5,6.0,0.7391903034888421,0.09121236672784426,0.796015088104939
202601,0.17850767591413877,4.492634170336653,6.0,0.7399877351485047,0.09093810199328453,0.7970882632077535
202601,0.23438949480229426,4.5,6.0,0.7339793835847059,0.10020785795481627,0.7905629607503953
202601,0.22411618606760925,3.1800594411929177,6.0,0.7304457745973303,0.13499261686472067,0.7924120468182452
202601,0.17494334095916902,4.5,6.0,0.7404380959411869,0.09043301248949447,0.797875104292895
202601,0.21151901736179002,4.5,6.0,0.7353348330171402,0.09535511375986894,0.7908631799549852
202601,0.23736355307704388,3.0875849620303035,6.0,0.7297912755946476,0.14284007172146596,0.7957311240621548
202601,0.22870222407550833,3.147238244119537,6.0,0.7301248335278429,0.13763160860676432,0.793387540427419
202601,0.2044517346256193,4.5,6.0,0.7360776736492416,0.09417085052739199,0.7917007862298995
202601,0.22391028266248983,3.2208874106911813,6.0,0.7307026659059906,0.13302951973010563,0.7908561914843477
202601,0.24266208756152832,3.168685155781871,6.0,0.7301385721565523,0.14022929284919947,0.7919486369640589
202601,0.23438975440990045,3.167687631534975,6.0,0.7301084918468201,0.13802704387561032,0.7921131659190419
202601,0.1912287401603494,4.5,6.0,0.7378072879873281,0.09228243395320751,0.7940098763706444
202601,0.18753508433355667,4.5,6.0,0.7383603548017902,0.0918217921765347,0.7948014551024104
202601,0.17341832655847206,4.493388029811955,6.0,0.7408542378051334,0.09040521126030589,0.7983955185561807
202601,0.23811649561830536,3.0865098223842593,6.0,0.7297874578924304,0.14309885416428433,0.7957537214535978
202601,0.2040373673727001,4.5,6.0,0.7361253972411222,0.09410544615834276,0.7917591640119342
202601,0.19060771326712334,4.5,6.0,0.7378983038028797,0.09220310817074029,0.7941389533948475
202601,0.23802345010867948,3.3719117215278276,8.0,0.729163022685245,0.14230624125383529,0.8059398913179663
202601,0.23645632991029697,3.3341183379052906,8.0,0.7288264112822351,0.1432655025988346,0.8064287338182096
202601,0.2218905986117792,3.413601300756717,8.0,0.7299495895293487,0.13529913598175514,0.8053121540172631
202601,0.2279382776166906,3.336019992887986,8.0,0.7289687452907119,0.14026552040151274,0.8063068752841959
202601,0.23191341059434564,3.0634271150195604,10.0,0.7202275524668174,0.15870316534700846,0.8196830140452761
202601,0.21673563729963094,3.532929419679011,10.0,0.7256726820164648,0.1329349174959068,0.8064625928324994
202601,0.2358668520905965,3.063353820549746,10.0,0.7202551819201268,0.1604133845906015,0.8196718433886879
202601,0.1891383351223537,3.512057228838395,10.0,0.728420096499858,0.12535831314970733,0.8082025856593432
202601,0.180688348105404,3.6298975846323156,10.0,0.7322221863782724,0.11958624123557607,0.8090836711494602
202601,0.18905140189387865,3.623859641078334,10.0,0.7307083576517293,0.1217664123604614,0.8081780832306802
202601,0.17776655919295423,3.646807954645708,10.0,0.7331136715846263,0.11843290740402902,0.8095039577462269
202601,0.22372252115829633,3.2823063397841814,10.0,0.7215914245880527,0.14496685090302736,0.8098317419128378
202601,0.21984958963971454,3.150191384294243,10.0,0.7207078087971474,0.14954345928607005,0.8151905963762474
202601,0.21694455878774677,3.507105081293628,10.0,0.7252001639256193,0.1338761977288953,0.8065016981681522
202601,0.21511844350543455,3.1434993098231327,10.0,0.720920156029122,0.1481812736713101,0.8158797579506719
