,R,P,U
R锚点,0.720227030892114,0.15852451715294016,0.8194244009976133
P锚点,0.7601764223669337,0.07603981275680793,0.7791499696638337
U锚点,0.7411038793680618,0.08523759719246662,0.7717866315586425
