a,b,N,S1-A,S1-B,S2-A,S2-B,S3-A,S3-B,max_model_regret,mean_model_regret
0.105,3.39375,4.0,1.594072113222956,1.5941514457508394,1.67942810637008,1.6798907557006717,1.9088494231721331,1.908921162267292,0.6268246145362394,0.4898021722096695
0.105,3.39375,6.0,1.5736005012963632,1.6782960611062259,1.6588233207689227,1.8210929761912487,1.888246015554708,2.0238330921532195,0.6063530026096465,0.5362319989741221
0.105,3.39375,8.0,1.567511825142881,1.9688777653040292,1.6521707630499347,2.113927605897757,1.8879828493832513,2.3196259481694685,0.8603247166260084,0.6805994639535612
0.105,3.39375,10.0,1.4394160748468146,1.8463125003468863,1.5222379930156105,1.990411783374845,1.7580814573441619,2.194246443804516,0.7368088941030961,0.5540343799178132
0.105,3.5125,2.0,1.8356043028545854,1.8356847843409707,1.9214219718228251,1.9232565288668018,2.153526698341649,2.1535996401838746,0.8683568041678688,0.7327656588641253
0.105,3.5125,4.0,1.6418513649260555,1.641930424990361,1.7273101935809534,1.7273862510632445,1.957303445962692,1.957374934785919,0.6746038662393389,0.5377761070138783
0.105,3.5125,6.0,1.6155024136221097,1.6427426075470235,1.7006768643099108,1.7694921791017235,1.930634209306554,1.9699130320463047,0.648254914935393,0.5337435554512785
0.105,3.5125,8.0,1.6197893775932803,1.919624456703652,1.704311869005033,2.064199338997727,1.934569695665354,2.2692708606664223,0.8105964497259783,0.6808776042342523
0.105,3.5125,10.0,1.5184831919935853,1.7988017586512006,1.6009807575013477,1.9423813375782315,1.8304414762861116,2.145513011347828,0.6887784483064827,0.5683502600220582
0.105,3.63125,2.0,1.9051250321846267,1.905205342069834,1.9913644779236768,1.9914418290250906,2.224264494597435,2.224337276152722,0.93787753349791,0.8025397464545715
0.105,3.63125,4.0,1.69153012527098,1.6916090527576593,1.7772017745371684,1.7772777188394875,2.0077814320619836,2.0078528143897105,0.7242826265842633,0.5877921574385057
0.105,3.63125,6.0,1.6615702580038667,1.6651876460195087,1.7468382607548518,1.7705298184098814,1.9773686055475184,1.9797059222026396,0.69432275931715,0.5624500896187186
0.105,3.63125,8.0,1.6785130265242598,1.9094946539415893,1.7630564188008249,2.053940498636418,1.994063973447901,2.2585746648696317,0.800337609364669,0.7051905438324448
0.105,3.63125,10.0,1.606248545656632,1.7919971649291004,1.688679856938394,1.9354703219919003,1.9192677649320524,2.138075057736334,0.6818674327201515,0.608873123159743
0.105,3.75,2.0,1.9703547373443568,1.9704351079544784,2.0571164632956496,2.0571937551937927,2.2907544936411792,2.29082721936584,1.0031072386576403,0.8683636339282236
0.105,3.75,4.0,1.7392214529691368,1.7393004059418673,1.8252012494275986,1.8252771983072533,2.0563365222973076,2.0564079089366754,0.7719739542824201,0.635874127442314
0.105,3.75,6.0,1.7079197576674887,1.7081014495251015,1.7934059415686232,1.8006004920235024,2.0245023451048993,2.0245747460333128,0.740672258980772,0.6054341264494955
0.105,3.75,8.0,1.739793011271819,1.930025606561062,1.8245028439021869,2.0745881554448933,2.0562798337272503,2.2793677424259373,0.8209852661731445,0.7463428700178657
0.105,3.75,10.0,1.6988255180626992,1.8174722627870246,1.7813573118403232,1.9609296786770274,2.0131112295751454,2.163789032216397,0.7315780193759825,0.6681641766554435
0.105,3.86875,2.0,2.027430908611907,2.027511298241183,2.114776324636992,2.1148536331192047,2.349049772077655,2.349122513393209,1.0601834099251901,0.9260407461423658
0.105,3.86875,4.0,1.7810435729175214,1.7811226183351663,1.8674070184411162,1.8674830545776213,2.099021857495963,2.099093326284819,0.8137960742308047,0.6781119124710421
0.105,3.86875,6.0,1.7506770243948537,1.7507572619634781,1.8364783382160996,1.8407576928728773,2.0680885688059956,2.068161104936659,0.7834295257081371,0.6480700029940013
0.105,3.86875,8.0,1.799739574946572,1.9729281395281246,1.8847495757739952,2.1179031929988303,2.1172704173307006,2.3231947397960564,0.8643003037270816,0.798214277858054
