模型,热目标,P,U,综合评分
加工误差SRC,0.9983325779848714,0.9997322056896853,0.9922103791791198,0.9922120207823915
S2-A工况SRC,0.9999274468682466,0.9998657935185501,0.9996128145723715,0.787397909614156
