扰动因素,Theta_R,P,U,C_op
ε_a,-0.0072062091578459775,0.1434459283121381,-0.0007720606405571262,-0.0024157840707914324
ε_b,-0.02182507443368164,-0.09424520698236462,-0.038686083234818466,-0.03161270280922505
s_m,-0.24264243364453908,0.9848730312056418,-0.9994094535584869,-0.4878758411026574
s_q,0.9702090117032222,-0.0001404032456435722,-0.00028113512027921894,0.7412797316180806
