weight_domain,regret_definition,weight_count,a,b,N,R,P,U,max_regret,mean_regret,p95_regret,minimum_weight_score_range,near_zero_range_weights
complete_simplex,absolute,1326,0.2249317396262705,4.5,6.0,0.7343297089821552,0.0979957766760012,0.7901950866279398,1.1589625110348225,0.3327443752642695,0.8356242739279175,0.6260564093890795,0
balanced_w_ge_0p1,absolute,666,0.217,3.45,4.0,0.7372489114532319,0.1098269658037797,0.7730378461164257,0.8011053189984345,0.2400917973554912,0.6085234519578082,0.6260564093890795,0
thermal_priority_wR_ge_0p5,absolute,351,0.2335,3.3675,8.0,0.7291353719002754,0.1408623878443982,0.8058055745625196,0.6692444736156353,0.24876680306435803,0.5392327049776227,0.9859475266535048,0
