方案,a,b,N,R,P,U,最大遗憾,平均遗憾,P95遗憾
问题3名义,0.2249317396262705,4.5,6.0,0.7343297089821552,0.09799577667600129,0.7901950866279398,1.1589625110348225,0.3327443752642706,0.8356242739279175
问题4偏好鲁棒,0.2249317396262705,4.5,6.0,0.7343297089821552,0.09799577667600129,0.7901950866279398,1.1589625110348225,0.3327443752642706,0.8356242739279175
最佳原始样本,0.2,4.5,6.0,0.7366132917779737,0.09349025659525803,0.7923780715523696,1.2963992312782449,0.3795854135318591,0.9518152555344183
散热优先方案,0.21728448053670227,3.3746466887982565,8.0,0.7298170236589744,0.13546416924719445,0.8061062147420046,2.160697905034922,0.821073394884662,1.7372036280863188
能耗优先方案,0.22760416112293844,4.5,4.0,0.7410930679886711,0.08554079643652768,0.771815624212946,1.5670919828718741,0.24987999414609027,0.9041247903705039
无针肋最佳,0.0,4.000005465,0.0,0.7679070416703999,0.08870387619821254,0.8383980000010898,4.193729378201309,1.674664189840979,3.2512293575288176
