response,degree,nrmse_mean,nrmse_std,nrmse_max,max_absolute_error,alpha_median,alpha_min,alpha_max
P,3,0.003737459465415838,0.0025869306162666556,0.008964870636983518,0.004200507578645374,1e-05,1e-08,0.1
P,4,0.005221450271733853,0.0026251664684794293,0.014216288144299295,0.004200473616517736,5.500000000000001e-06,1e-08,0.1
P,2,0.02455699696797053,0.0040172475815387545,0.032209694328690315,0.007379920436453635,0.1,1e-08,1.0
R,3,6.540971327878776e-06,1.0175836318792198e-06,8.798474758364013e-06,9.288477315072541e-07,1e-05,1e-08,1e-05
R,4,9.105070670497337e-06,1.9805151894760053e-06,1.4801606101879272e-05,1.9943397744359714e-06,1e-06,1e-08,1e-05
R,2,0.09413966436605214,0.019573136218324693,0.15578873462318193,0.018861668913004892,1.0,1e-08,10.0
U,3,0.0036344075449245756,0.001978148573644295,0.007952763716489012,0.0018513849127037574,0.001,1e-08,0.01
U,4,0.005077790559853953,0.0019475898253492096,0.010837093764503293,0.0019063921801063533,0.001,1e-08,0.01
U,2,0.12705585910588982,0.02075176456931305,0.1749994341118557,0.0246539560461716,1.0,1e-08,10.0
