factor,sobol_first_order,sobol_first_order_raw,sobol_total_order,interaction_gap,sample_size
epsilon_a,0.0,-8.38583819684451e-05,0.00022080729474864205,0.00022080729474864205,32768
epsilon_b,0.0008342124123722869,0.0008342124123722869,0.0011551933722007957,0.0003209809598285088,32768
s_m,0.23955009691376639,0.23955009691376639,0.26350148376772137,0.02395138685395498,32768
s_q,0.7110772523517452,0.7110772523517452,0.7428904906193532,0.03181323826760796,32768
