扰动因素,R,P,U,C_str
ε_a,-0.3134856840671947,0.8372576854442569,-0.019602736550446864,-0.019561168565257248
ε_b,-0.9471108244574442,-0.5508672822304396,-0.9958043066282947,-0.9958061609453597
