方案,a,b,N,名义评分,均值,标准差,Q95,CVaR95
名义可行投影,0.2249317396262705,4.4625,6.0,0.40443873756692056,0.4045128561258179,0.009393188584030458,0.4181651498870821,0.41907444569297014
问题5结构鲁棒,0.22400581543789444,4.4625,6.0,0.40443165015820176,0.40449858073528905,0.009350730023459531,0.4181343219769579,0.4189253986226185
