candidate,a,b,N,min_realized_a,max_realized_a,min_realized_b,max_realized_b,formal_domain_contained
q3_nominal_boundary,0.2249317396262705,4.5,6.0,0.2199317396262705,0.2299317396262705,4.4625,4.5375,False
q3_nominal_projected,0.2249317396262705,4.4625,6.0,0.2199317396262705,0.2299317396262705,4.425000000000001,4.5,True
structure_robust,0.2238917895511452,4.462499650159275,6.0,0.2188917895511452,0.2288917895511452,4.424999650159275,4.499999650159275,True
