设计,响应,|dz/dã|,|dz/db̃|
问题3名义,R,0.26779711949523366,0.9439482734665308
问题3名义,P,0.5278785214062829,0.34380864172047365
问题3名义,U,2.623252130978174e-05,0.7986238199136364
结构鲁棒,R,0.27537873518273975,0.8301236179105101
结构鲁棒,P,0.5210950899196584,0.3428953923048831
结构鲁棒,U,0.013612894287375768,0.6441284385326385
