情景,U模型,alpha_P,theta_R,m_R,m_U,sm_lo,sm_hi,sq_lo,sq_hi,a,b,N,最优CVaR,结构鲁棒CVaR,差额,相对风险增幅
S1,A,0.8,0.75,0.25,0.25,0.95,1.05,0.95,1.05,0.2256755010539912,3.4109177545260354,10.0,0.9665925332287364,1.2585683028801968,0.2919757696514603,0.3020670650911874
S1,B,0.8,0.75,0.25,0.25,0.95,1.05,0.95,1.05,0.2411209115064297,3.075602906761121,4.0,1.1569039861734565,1.2905157188438872,0.1336117326704307,0.11549077042457179
S2,A,0.5,0.5,0.5,0.5,0.95,1.05,0.95,1.05,0.2209293953018324,3.48408394705313,10.0,1.1567488168920546,1.3432392620179334,0.1864904451258788,0.1612194820539694
S2,B,0.5,0.5,0.5,0.5,0.95,1.05,0.95,1.05,0.2407638030036165,3.111031953030975,4.0,1.2517676725379911,1.4243130571339335,0.1725453845959426,0.13784138093780784
S3,A,0.2,0.25,0.8,0.8,0.95,1.05,0.95,1.05,0.2222934147195384,3.4647425618877628,10.0,1.421504398144075,1.580657917650868,0.159153519506793,0.11196132753059707
S3,B,0.2,0.25,0.8,0.8,0.95,1.05,0.95,1.05,0.2413662244297897,3.0767720748322933,4.0,1.478197662033668,1.6259541674597882,0.14775650542612,0.0999572041149357
